 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
337,25.799,17.436,24.372,14.124,15.682,13.868,88.334,63.438,46.629,32.015,67.532,32.989,20.151,24.793,33.746,57.241,45.140,35.996,129.007,59.123,34.385,30.782,81.341,16.854,37.097,64.225,26.796,18.279,32.590,27.177,16.931,23.656,14.134,21.259,14.882,14.078
338,25.631,17.372,24.372,14.313,15.720,13.889,88.198,63.318,46.661,31.575,68.138,33.056,20.041,24.609,33.867,57.464,45.089,35.958,128.845,59.033,34.520,30.683,81.301,16.894,37.416,64.141,27.414,18.070,32.748,27.208,16.835,23.747,14.052,21.141,14.947,14.071
339,25.770,17.531,24.359,14.222,15.800,13.933,87.902,63.174,46.565,31.790,67.418,32.877,20.230,24.477,33.615,57.031,45.144,35.858,129.154,58.853,34.600,30.369,81.205,16.865,37.359,63.579,27.344,18.127,32.538,27.124,16.752,23.676,14.144,21.168,14.885,14.067
340,25.588,17.401,24.324,14.291,15.867,13.874,87.966,63.180,45.950,31.869,67.299,32.994,20.226,24.527,33.412,56.942,44.958,35.720,129.498,59.242,34.530,30.856,81.722,16.677,37.378,64.118,27.497,18.195,32.538,27.257,16.881,23.526,14.139,21.093,15.142,14.143
341,25.862,17.441,24.404,14.424,15.842,13.845,88.471,63.045,46.434,31.791,67.789,33.179,20.266,24.703,34.089,57.117,45.226,36.347,129.429,59.498,34.489,30.724,80.618,16.771,37.517,64.187,27.471,18.154,32.442,27.307,16.897,23.599,13.980,21.110,14.978,14.140
342,25.642,17.552,24.331,14.322,15.754,13.956,88.375,62.763,46.569,31.674,67.451,32.759,20.339,24.789,33.231,57.127,44.950,36.079,129.246,58.924,34.545,30.702,80.799,16.682,37.564,63.908,27.567,18.257,32.418,27.280,16.839,23.883,14.099,21.106,15.050,13.966
343,25.791,17.418,24.230,14.496,15.890,13.893,88.667,62.866,46.418,31.575,67.604,33.303,20.158,24.657,33.627,57.172,45.162,36.173,128.543,59.256,34.508,30.596,80.913,16.828,37.438,63.861,26.994,18.164,32.616,27.171,16.857,23.996,14.163,21.226,14.841,13.906
344,25.630,17.424,24.289,14.452,15.829,13.956,88.629,63.226,46.412,31.955,66.829,33.021,20.553,24.805,33.914,56.991,45.087,36.069,129.287,58.896,34.572,30.715,81.266,16.803,37.455,63.699,27.000,18.272,32.599,27.360,16.774,23.586,14.097,21.082,15.014,13.956
345,25.638,17.432,24.272,14.472,15.829,13.943,88.704,62.985,46.299,31.871,67.571,33.321,20.625,24.494,33.804,57.220,45.050,35.992,128.953,59.389,34.456,30.696,80.933,16.842,37.344,64.276,26.707,18.250,32.459,27.208,16.754,23.641,14.051,21.128,14.938,13.938
346,25.797,17.493,24.235,14.446,15.781,13.715,88.005,62.694,46.459,31.802,68.020,32.995,20.639,24.661,33.765,56.978,44.960,35.779,128.936,58.886,34.508,30.689,79.907,16.904,37.529,63.903,26.624,18.190,32.654,27.208,16.851,23.817,14.175,21.173,14.935,14.069
347,25.830,17.531,24.307,14.496,15.846,13.887,87.733,62.675,46.550,31.810,67.436,32.949,20.601,24.712,33.646,57.188,45.028,35.972,128.231,58.768,34.470,30.689,81.085,16.749,37.310,63.783,27.223,18.170,32.508,27.201,16.873,23.456,14.153,21.252,15.046,14.034
348,25.666,17.501,24.247,14.537,15.987,13.899,88.261,62.477,46.348,31.925,67.408,33.054,20.837,24.694,33.933,57.085,45.051,35.798,128.113,59.550,34.342,30.401,80.862,16.816,37.330,63.914,27.019,18.083,32.529,27.171,16.774,23.696,14.135,21.263,14.904,14.117
