 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
583,19.755,18.460,17.824,20.438,22.604,19.404,21.186,20.553,21.719,20.828,20.525,21.921,23.504,21.033,21.486,23.637,19.574,21.786,21.741,19.642,19.330,20.567,19.644,19.692,19.115,17.825,17.914,18.835
584,19.733,18.402,17.785,20.526,22.560,19.470,21.064,20.421,21.744,20.965,20.631,21.798,23.447,20.941,21.616,23.578,19.444,21.484,21.805,19.742,19.403,20.643,19.592,19.551,18.890,17.819,17.780,18.776
585,19.474,18.234,17.880,20.661,22.392,19.623,21.137,20.542,21.836,20.873,20.339,21.619,23.207,21.084,21.362,23.651,19.535,21.355,21.758,19.652,19.389,20.359,19.595,19.606,18.979,17.800,17.789,18.778
586,19.405,18.270,17.799,20.498,22.573,19.567,21.197,20.583,21.889,20.823,20.389,21.928,23.162,21.003,21.481,23.670,19.439,21.365,21.739,19.585,19.510,20.373,19.770,19.493,18.953,17.804,17.827,18.726
587,19.410,18.239,17.838,20.248,22.361,19.502,21.256,20.332,21.632,20.571,20.268,21.781,23.109,21.045,21.430,23.551,19.545,21.042,21.798,19.663,19.284,20.307,19.651,19.602,18.821,17.872,17.842,18.728
588,19.338,18.171,17.789,20.391,22.535,19.417,21.172,20.329,21.792,20.486,20.301,21.860,23.137,20.912,21.306,23.691,19.561,21.091,21.742,19.721,19.382,20.299,19.557,19.564,18.895,17.836,17.763,18.785
589,19.192,18.214,17.845,20.506,22.709,19.502,21.100,20.439,21.575,20.299,20.442,21.786,23.184,21.009,21.407,23.601,19.579,21.085,21.678,19.804,19.370,20.188,19.613,19.536,18.899,17.805,17.838,18.695
590,19.126,18.227,17.903,20.280,22.456,19.287,21.265,20.351,21.761,20.204,20.522,21.764,23.199,21.033,21.271,23.555,19.540,21.053,21.800,19.742,19.337,20.204,19.630,19.602,18.851,17.782,17.821,18.746
591,19.088,18.112,17.826,20.406,22.405,19.392,21.092,20.318,21.779,20.436,20.316,21.731,22.878,21.023,21.283,23.722,19.506,21.034,21.720,19.696,19.326,20.218,19.614,19.528,18.866,17.907,17.796,18.691
592,18.942,18.035,17.760,20.280,22.563,19.412,21.120,20.373,21.698,20.349,20.490,21.728,22.842,20.990,21.219,23.680,19.604,21.072,21.731,19.625,19.202,20.175,19.757,19.551,18.798,17.801,17.750,18.756
593,18.952,18.159,17.627,20.488,22.446,19.267,21.263,20.453,21.729,20.571,20.348,21.639,22.697,20.957,21.223,23.460,19.533,20.888,21.581,19.742,19.387,20.145,19.600,19.541,18.735,17.768,17.853,18.676
594,19.048,18.222,17.756,20.270,22.386,19.290,21.225,20.325,21.671,20.272,20.584,21.764,22.592,21.024,21.333,23.595,19.483,20.919,21.670,19.506,19.365,20.055,19.499,19.447,18.757,17.826,17.691,18.696
595,18.936,18.233,17.778,20.304,22.399,19.460,21.129,20.294,21.691,20.090,20.413,21.760,22.575,20.990,21.281,23.586,19.398,20.977,21.628,19.502,19.360,20.038,19.623,19.475,18.745,17.813,17.659,18.562
596,19.020,18.124,17.845,20.414,22.573,19.272,21.097,20.368,21.668,19.791,20.434,21.855,22.432,21.078,21.246,23.487,19.540,20.766,21.709,19.683,19.312,20.133,19.726,19.488,18.830,17.833,17.773,18.512
597,18.764,18.134,17.764,20.351,22.380,19.231,21.156,20.401,21.698,20.234,20.292,21.745,22.442,20.967,21.194,23.707,19.487,20.830,21.679,19.781,19.358,20.158,19.581,19.436,18.796,17.858,17.628,18.628
598,18.821,18.115,17.814,20.364,22.699,19.400,21.107,20.358,21.587,20.172,20.422,21.751,22.449,21.020,21.097,23.548,19.602,20.784,21.802,19.667,19.344,20.162,19.703,19.423,18.776,17.904,17.648,18.653
599,18.675,18.163,17.861,20.326,22.541,19.412,21.196,20.281,21.654,20.327,20.490,21.700,22.203,20.944,21.227,23.606,19.613,20.650,21.712,19.727,19.396,20.089,19.688,19.428,18.751,17.813,17.725,18.756
600,18.850,18.106,17.795,20.255,22.323,19.430,21.116,20.310,21.568,19.858,20.454,21.603,22.301,21.069,21.058,23.593,19.654,20.794,21.729,19.823,19.380,20.037,19.628,19.571,18.757,17.812,17.708,18.654
601,18.806,18.157,17.787,20.364,22.449,19.315,21.223,20.431,21.749,19.813,20.392,21.881,22.147,21.007,21.250,23.587,19.483,20.786,21.631,19.712,19.398,20.094,19.499,19.560,18.733,17.838,17.715,18.598
602,18.759,18.118,17.774,20.280,22.440,19.339,21.121,20.412,21.771,19.838,20.289,21.788,22.412,20.870,21.258,23.693,19.654,20.907,21.832,19.642,19.169,20.005,19.586,19.555,18.752,17.834,17.667,18.628
603,18.689,17.984,17.865,20.369,22.361,19.311,21.088,20.305,21.795,20.007,20.407,21.759,22.515,21.001,21.157,23.595,19.487,20.728,21.734,19.806,19.166,19.996,19.675,19.431,18.861,17.880,17.608,18.697
604,18.701,18.200,17.832,20.314,22.456,19.435,21.102,20.234,21.715,19.925,20.395,21.676,22.312,20.999,21.231,23.630,19.519,20.622,21.680,19.531,19.258,19.880,19.791,19.494,18.778,17.737,17.612,18.663
605,18.751,18.033,17.776,20.290,22.494,19.320,20.993,20.314,21.655,19.900,20.254,21.788,22.261,20.939,21.260,23.457,19.540,20.715,21.836,19.592,19.405,19.925,19.524,19.427,18.714,17.862,17.630,18.779
606,18.598,18.066,17.816,20.359,22.320,19.231,21.232,20.437,21.765,19.870,20.263,21.707,22.323,21.013,21.209,23.499,19.444,20.720,21.706,19.688,19.312,19.993,19.789,19.464,18.716,17.788,17.637,18.646
607,18.670,18.048,17.658,20.150,22.399,19.389,21.091,20.234,21.691,19.786,20.319,21.754,22.250,21.006,21.087,23.468,19.636,20.745,21.711,19.629,19.274,20.035,19.551,19.485,18.744,17.808,17.653,18.715
608,18.673,18.031,17.795,20.386,22.487,19.417,20.972,20.478,21.754,20.045,20.224,21.650,22.410,20.965,21.058,23.567,19.602,20.868,21.775,19.667,19.384,19.965,19.602,19.463,18.741,17.819,17.685,18.672
609,18.696,18.166,17.907,20.359,22.538,19.298,21.058,20.220,21.678,19.820,20.186,21.796,22.500,20.965,21.128,23.460,19.616,20.888,21.671,19.798,19.223,19.957,19.668,19.399,18.801,17.808,17.647,18.572
610,18.616,18.052,17.772,20.271,22.579,19.217,21.151,20.272,21.741,20.020,20.271,21.756,22.244,21.032,21.118,23.543,19.410,20.688,21.727,19.658,19.218,19.929,19.555,19.357,18.869,17.803,17.568,18.597
611,18.567,18.081,17.783,20.266,22.456,19.353,21.172,20.142,21.779,19.845,20.522,21.752,22.175,20.986,21.060,23.643,19.515,20.769,21.744,19.562,19.281,19.990,19.529,19.448,18.781,17.862,17.566,18.651
612,18.706,18.107,17.810,20.270,22.538,19.272,21.100,20.421,21.779,19.895,20.316,21.649,22.280,20.935,21.097,23.409,19.423,20.597,21.783,19.652,19.332,19.946,19.524,19.477,18.739,17.736,17.581,18.684
613,18.432,18.104,17.886,20.280,22.509,19.389,21.250,20.281,21.795,19.840,20.381,21.819,22.017,20.849,21.188,23.621,19.497,20.611,21.633,19.656,19.199,20.052,19.654,19.459,18.822,17.804,17.592,18.695
614,18.584,18.217,17.745,20.223,22.199,19.290,21.172,20.398,21.641,19.713,20.283,21.717,22.391,20.967,21.169,23.564,19.524,20.775,21.581,19.590,19.401,20.020,19.578,19.536,18.653,17.813,17.549,18.630
615,18.637,18.152,17.621,20.379,22.427,19.171,21.184,20.346,21.729,19.853,20.510,21.734,22.147,20.880,21.064,23.580,19.531,20.750,21.776,19.792,19.220,19.956,19.550,19.456,18.707,17.767,17.599,18.624
616,18.630,18.129,17.725,20.334,22.627,19.176,21.183,20.351,21.708,19.880,20.354,21.649,22.105,20.921,20.994,23.731,19.551,20.662,21.611,19.604,19.103,19.948,19.567,19.463,18.747,17.836,17.646,18.641
617,18.652,18.095,17.652,20.474,22.370,19.265,21.104,20.313,21.734,19.421,20.333,21.817,22.393,20.826,21.066,23.591,19.439,20.648,21.666,19.640,19.232,19.984,19.714,19.363,18.719,17.804,17.629,18.641
