 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
346,21.383,23.500,18.842,23.919,21.034,20.330,19.890,19.646,21.492,19.057,19.041,19.926,17.800,19.340,33.329,32.223,36.861,19.708,17.034,20.017,31.545,36.450,26.428,28.683,42.960,37.951,26.030,30.491,35.397,34.799,44.931,28.991,22.332,23.560,22.227,24.096,27.169,26.852,23.869,25.465,24.781,24.163,21.861,20.434,21.644,22.418
347,22.601,25.562,18.789,23.977,21.119,21.091,19.946,19.733,21.800,19.087,19.713,20.003,17.978,20.004,33.189,35.622,37.249,19.635,16.960,19.805,40.253,36.668,26.730,28.678,56.688,40.640,27.287,41.768,36.447,36.564,63.642,42.478,25.125,27.195,24.068,25.085,27.673,30.031,27.894,25.656,24.849,24.298,22.000,20.902,22.639,22.439
348,23.483,26.575,18.889,24.088,21.332,21.736,20.123,19.776,22.017,19.290,19.972,19.976,18.945,19.973,34.382,37.309,37.714,19.744,17.003,20.038,43.698,36.769,26.849,28.742,59.347,42.115,27.410,43.497,36.789,36.939,74.703,44.069,25.764,27.012,25.908,25.015,28.427,29.749,28.176,25.835,25.002,24.329,21.988,21.185,22.793,22.611
349,24.005,27.575,18.795,24.053,21.596,21.232,20.148,19.859,22.206,19.137,19.730,20.011,19.714,20.209,34.489,38.136,38.539,19.764,17.093,20.010,51.320,37.329,27.172,28.764,71.576,43.791,28.272,48.050,37.098,40.092,78.599,42.674,26.518,27.277,27.331,26.887,29.144,34.917,28.204,26.279,25.172,24.583,22.392,21.269,22.880,22.636
350,24.156,27.737,18.864,23.845,21.277,21.043,20.011,19.616,22.361,19.224,19.592,20.229,20.322,20.037,34.589,41.489,38.180,19.642,17.099,20.080,56.441,37.974,27.522,28.847,83.552,49.338,28.713,49.036,38.032,45.343,82.608,41.107,27.129,26.793,28.093,27.041,29.870,37.388,29.096,26.730,24.998,25.282,22.573,21.155,22.585,22.536
351,23.916,26.495,18.927,23.829,21.312,20.786,20.143,19.618,22.326,19.146,19.628,20.288,20.300,19.873,34.889,41.766,37.706,19.689,17.051,20.780,55.861,37.771,27.458,28.906,91.173,53.835,28.575,47.743,39.308,49.575,87.730,39.450,26.839,25.919,27.950,26.205,29.337,38.125,29.242,26.613,25.025,25.270,22.576,21.155,22.294,22.732
352,23.508,25.632,18.835,24.028,21.139,20.724,20.036,19.746,22.255,19.180,19.518,20.141,19.896,19.711,34.496,40.430,37.457,19.940,16.992,21.505,53.992,38.497,27.225,28.808,91.133,52.184,28.075,47.189,39.336,53.465,91.747,37.600,25.675,25.336,27.209,25.747,29.431,35.257,28.385,26.593,25.205,25.194,22.459,20.852,22.192,22.478
353,23.400,24.737,18.915,23.792,21.231,20.640,20.183,19.729,22.081,19.256,19.281,20.134,19.793,19.524,33.996,40.002,37.073,19.986,17.130,22.317,54.432,38.584,27.269,29.070,89.168,52.522,27.429,48.652,40.029,55.451,94.373,36.509,25.254,25.091,27.529,25.518,29.201,34.280,28.403,26.238,24.866,25.302,22.490,20.877,22.181,22.541
354,22.890,24.297,18.775,23.824,21.043,20.595,20.050,19.763,21.905,19.306,19.207,20.181,19.595,19.734,33.961,40.863,37.408,19.989,17.272,22.077,52.988,38.918,27.136,28.923,91.643,54.022,27.146,48.142,42.395,64.007,97.900,35.341,24.457,24.640,26.853,25.210,28.889,31.913,29.409,26.006,25.049,25.032,22.351,20.943,22.007,22.469
355,22.767,24.027,18.842,23.812,21.152,20.565,20.053,19.612,21.911,19.231,19.309,20.186,19.509,19.790,34.704,40.255,37.437,20.194,17.394,22.122,49.851,38.758,27.262,28.888,87.349,58.761,27.052,45.990,43.441,73.519,97.388,33.898,23.954,24.467,25.908,25.009,29.604,30.524,29.427,25.992,25.104,24.933,22.120,20.984,22.148,22.429
356,22.294,23.804,18.815,23.792,21.104,20.524,20.125,19.692,21.928,19.205,19.116,20.105,19.161,19.800,34.296,38.895,37.669,20.208,17.491,22.118,46.646,39.728,27.172,28.931,87.589,65.099,26.851,43.760,46.025,80.228,98.140,32.997,23.175,24.210,25.573,24.942,29.130,29.177,29.694,26.037,24.951,24.933,22.098,20.927,22.005,22.534
357,22.246,23.630,18.780,23.868,21.177,20.699,19.947,19.488,21.877,19.240,18.917,20.096,18.804,19.619,33.907,38.026,37.261,20.302,17.550,22.206,44.346,39.767,27.034,28.691,84.520,61.206,26.571,42.260,44.878,75.851,96.063,32.112,22.804,23.983,25.182,24.974,28.226,28.550,28.299,25.875,25.050,24.210,21.867,20.911,22.005,22.547
358,22.116,23.651,18.719,23.806,21.086,20.465,20.027,19.800,21.703,19.176,19.165,20.109,18.733,19.531,33.786,37.110,37.318,20.186,17.598,21.920,42.401,39.321,27.002,28.776,78.781,56.794,26.078,40.507,43.444,71.494,92.208,30.960,22.711,23.709,24.501,24.530,28.041,27.393,27.118,25.804,24.934,24.337,21.755,20.801,21.759,22.478
359,21.983,23.646,18.900,23.671,21.184,20.560,19.979,19.703,21.778,19.304,18.939,20.112,18.462,19.503,33.839,36.403,37.380,20.206,17.668,22.066,40.703,39.715,27.001,28.826,72.560,54.552,26.466,39.153,41.938,67.463,88.470,30.167,22.446,23.635,23.743,24.427,27.743,26.758,26.346,25.608,25.198,24.345,21.804,20.868,21.681,22.375
360,21.837,23.473,18.955,23.782,21.055,20.526,20.023,19.766,21.767,19.274,18.948,19.974,18.194,19.553,33.846,35.584,37.139,20.213,17.823,22.387,39.460,39.258,26.915,28.810,67.504,54.896,26.093,38.039,40.702,67.036,85.337,29.181,22.043,23.756,23.075,24.109,27.613,26.298,25.575,25.651,24.866,24.060,21.888,20.717,21.655,22.390
