 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1549,14.125,15.472,13.772,9.224,10.103,14.066,11.623,12.527,15.506,14.011,12.003,7.960,11.216,12.605,9.165,8.607,12.758,11.049,9.158,10.656,9.084,10.092,9.574
1550,14.002,15.510,13.959,9.163,10.008,14.073,11.668,12.600,15.528,14.207,11.916,8.036,11.282,12.629,9.100,8.514,12.758,11.261,9.081,10.752,9.109,10.208,9.572
1551,13.972,15.456,13.979,9.147,10.166,13.976,11.716,12.541,15.477,14.123,11.911,7.985,11.071,12.714,9.193,8.447,12.874,11.162,9.156,10.736,9.100,10.189,9.505
1552,13.971,15.442,14.039,9.190,10.083,14.111,11.741,12.500,15.436,14.034,12.013,8.019,11.196,12.714,9.201,8.511,12.718,11.140,9.178,10.643,9.071,10.258,9.603
1553,13.908,15.325,14.067,9.140,10.083,14.152,11.661,12.454,15.455,14.241,11.905,7.970,11.133,12.581,9.256,8.497,12.737,11.205,9.198,10.844,8.998,10.103,9.694
1554,13.833,15.444,13.955,9.180,10.067,14.107,11.688,12.563,15.460,14.082,11.913,7.979,10.961,12.662,9.215,8.567,12.730,11.185,9.319,10.640,9.024,10.229,9.590
1555,13.690,15.421,14.022,9.181,10.146,14.121,11.576,12.471,15.387,14.049,11.945,7.998,11.239,12.645,9.232,8.486,12.739,11.118,9.183,10.755,9.022,10.079,9.650
1556,13.754,15.536,14.028,9.183,10.099,14.187,11.628,12.451,15.496,14.165,12.018,8.040,11.129,12.633,9.177,8.402,12.810,11.217,9.254,10.758,9.033,10.074,9.588
1557,13.717,15.357,13.936,9.177,10.063,14.017,11.691,12.600,15.368,14.059,12.150,7.970,11.071,12.698,9.201,8.475,12.804,11.150,9.156,10.726,9.111,10.066,9.559
1558,13.761,15.476,14.107,9.091,10.209,14.218,11.648,12.507,15.353,14.040,11.976,7.932,11.031,12.629,9.128,8.542,12.659,11.170,9.116,10.691,9.075,10.034,9.529
1559,13.769,15.456,14.034,9.210,10.079,13.983,11.546,12.651,15.394,14.137,12.003,8.062,10.992,12.636,9.173,8.528,12.808,11.207,9.136,10.653,9.033,10.071,9.565
1560,13.789,15.496,14.099,9.190,10.040,13.958,11.566,12.483,15.466,14.044,11.882,8.083,11.071,12.595,9.148,8.497,12.810,11.194,9.094,10.707,9.082,10.163,9.528
1561,13.818,15.345,14.101,9.187,10.146,14.076,11.673,12.424,15.540,14.114,11.929,7.994,11.169,12.710,9.159,8.508,12.747,11.133,9.160,10.605,9.035,10.092,9.493
1562,13.721,15.498,14.256,9.173,10.008,14.118,11.656,12.446,15.502,14.027,11.855,8.011,11.224,12.660,9.289,8.430,12.724,11.136,9.198,10.726,9.038,10.108,9.492
1563,13.692,15.377,14.092,9.153,10.059,14.024,11.601,12.502,15.532,14.095,11.958,8.006,11.169,12.686,9.161,8.506,12.750,11.175,9.195,10.659,9.115,10.111,9.479
1564,13.736,15.454,13.993,9.163,10.095,14.118,11.596,12.405,15.423,14.167,11.934,7.953,11.035,12.657,9.106,8.506,12.701,11.163,9.153,10.685,9.129,10.097,9.541
1565,15.637,19.494,14.217,9.261,10.375,14.713,15.608,14.376,18.451,16.311,12.208,8.637,14.843,15.740,9.341,8.579,13.034,11.747,10.067,12.232,9.845,10.168,9.711
1566,17.194,21.280,14.286,9.276,10.458,15.055,19.030,16.324,20.649,17.214,12.318,9.401,15.792,17.045,9.372,8.787,13.206,12.098,10.686,13.334,10.497,10.266,9.884
1567,15.657,18.998,14.142,9.220,10.273,14.301,16.060,14.456,18.340,15.383,12.053,8.854,14.263,14.514,9.307,8.761,12.874,11.599,9.807,12.032,9.692,10.221,9.775
1568,14.837,17.468,14.013,9.190,10.194,14.225,13.978,13.312,17.172,14.584,11.989,8.427,13.263,13.300,9.207,8.629,12.750,11.241,9.427,11.449,9.392,10.142,9.657
1569,14.305,16.831,13.914,9.154,10.123,14.221,12.885,12.988,16.394,14.288,12.068,8.185,12.816,13.071,9.211,8.466,12.806,11.118,9.286,11.140,9.171,10.124,9.667
1570,14.033,16.272,14.060,9.136,10.158,14.145,12.262,12.744,15.968,14.366,12.095,8.108,12.314,12.833,9.289,8.480,12.804,11.160,9.168,10.936,9.098,10.187,9.619
1571,13.974,15.966,14.116,9.162,10.194,13.983,12.030,12.646,15.823,14.163,12.121,8.113,12.035,12.724,9.146,8.573,12.739,11.106,9.183,10.691,9.153,10.047,9.636
1572,13.872,15.843,13.933,9.154,10.158,13.979,11.980,12.578,15.783,14.150,12.045,8.002,11.835,12.752,9.136,8.514,12.716,11.210,9.185,10.694,9.040,10.145,9.533
1573,13.763,15.611,14.103,9.101,10.217,13.986,11.731,12.612,15.600,14.101,12.074,8.045,11.722,12.645,9.185,8.548,12.777,11.190,9.119,10.682,9.086,10.021,9.513
1574,13.771,15.617,13.970,9.188,10.063,13.945,11.736,12.517,15.549,14.080,11.871,8.002,11.498,12.714,9.132,8.508,12.777,11.131,9.015,10.768,9.144,10.074,9.438
1575,13.806,15.417,14.101,9.145,10.190,14.138,11.708,12.510,15.547,14.099,11.895,8.038,11.471,12.576,9.185,8.542,12.722,11.168,9.237,10.704,9.073,10.095,9.507
1576,13.850,15.466,14.019,9.207,10.012,14.170,11.651,12.520,15.515,14.135,11.892,8.049,11.337,12.614,9.167,8.475,12.760,11.210,9.069,10.637,9.011,10.182,9.533
1577,13.719,15.528,14.191,9.186,10.107,14.028,11.666,12.498,15.453,14.101,11.868,7.964,11.361,12.652,9.222,8.416,12.773,11.141,9.044,10.736,9.067,10.374,9.590
1578,13.839,15.458,15.649,9.251,10.229,14.042,11.681,12.561,15.349,14.091,12.011,8.040,11.318,12.717,9.608,8.511,12.758,11.190,9.081,10.704,9.011,11.005,9.712
1579,13.828,15.478,15.234,9.199,10.261,14.242,11.676,12.480,15.532,14.101,12.039,8.011,11.263,12.621,9.478,8.483,12.779,11.229,9.136,10.694,9.122,10.645,9.600
1580,13.745,15.339,14.953,9.212,10.059,14.076,11.696,12.610,15.445,14.091,11.966,7.949,11.137,12.502,9.431,8.584,12.779,11.148,9.158,10.678,9.029,10.418,9.502
1581,13.796,15.403,14.779,9.163,10.071,14.208,11.633,12.500,15.402,14.116,11.903,8.017,11.118,12.629,9.305,8.494,12.655,11.185,9.054,10.653,8.978,10.308,9.521
