 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
743,160.419,103.138,61.188,76.325,63.998,73.191,67.039,126.354,112.212,104.631,166.447,69.895,91.960,71.428,82.838,96.292,107.820,67.921,78.133,106.256,72.769,117.431,90.266,90.852,104.383,73.092,93.400,97.464,73.027,67.605,76.762,65.620,65.004,69.982,93.772,82.361,81.224,83.915,83.436,72.369,78.772,86.657,80.896,87.452,70.124,78.634
744,160.624,103.666,60.766,76.127,63.966,72.937,67.308,126.818,110.032,104.818,166.262,69.678,92.312,71.316,82.715,95.717,106.628,67.863,77.846,106.969,74.170,117.379,90.057,91.715,104.949,73.592,92.984,97.391,72.704,67.469,76.414,65.589,65.605,70.094,93.324,82.767,81.220,84.009,83.851,72.184,79.369,87.335,81.349,86.675,70.382,79.709
745,160.585,103.108,61.249,75.677,63.991,72.681,66.923,125.635,111.402,104.590,166.518,70.186,91.887,70.971,82.190,95.541,107.555,68.050,78.044,106.912,72.544,115.515,90.004,91.831,103.690,73.212,94.005,96.252,73.104,67.323,76.789,65.733,65.155,69.513,92.977,80.872,81.089,84.413,84.000,72.348,78.885,86.579,80.697,86.642,70.758,79.211
746,161.173,103.005,60.792,75.604,63.856,73.303,66.807,126.152,109.756,105.286,167.273,69.629,93.123,71.234,82.229,96.186,106.276,68.108,77.937,106.249,73.621,116.009,90.183,91.735,104.687,72.571,92.408,96.073,73.124,67.222,76.570,65.789,65.304,70.279,93.635,82.203,80.989,84.357,82.559,72.298,78.712,86.979,80.954,87.214,70.533,79.883
747,161.359,102.946,60.751,75.939,63.282,73.364,66.643,127.423,110.277,103.705,167.064,69.995,91.950,70.855,82.489,95.861,107.344,68.029,78.604,106.568,73.516,115.825,89.083,92.133,104.449,73.209,92.876,96.662,72.668,66.719,77.118,65.165,64.911,70.431,93.944,82.504,80.676,84.150,83.546,72.447,78.213,86.605,81.075,87.221,70.608,79.230
748,161.515,103.020,60.969,76.235,63.699,72.982,67.053,126.651,110.881,104.716,165.633,70.114,93.608,70.751,82.162,95.920,106.139,68.500,78.139,106.679,72.522,116.897,88.350,92.498,103.678,75.102,92.724,97.543,72.708,67.214,77.734,65.641,65.133,72.502,93.815,82.226,86.310,85.418,83.410,71.816,79.294,87.828,81.395,87.623,73.314,88.977
749,161.205,103.285,61.151,76.252,63.822,73.479,66.847,126.929,111.814,105.365,166.953,69.897,92.920,71.196,82.441,96.676,106.661,67.983,78.202,106.943,72.720,115.981,87.433,92.050,104.614,75.319,94.014,97.265,73.183,67.252,76.923,65.822,65.375,74.040,92.810,81.820,90.368,83.366,82.616,72.227,78.922,88.249,80.769,88.317,74.049,87.906
750,160.810,103.393,61.295,75.465,63.372,72.571,66.730,126.752,110.733,104.950,166.029,70.080,91.942,71.942,81.860,96.521,107.301,67.579,77.981,106.382,72.797,116.068,87.108,92.148,105.461,74.725,93.465,96.788,72.602,66.977,76.677,65.874,64.838,73.797,94.015,82.113,87.204,83.324,83.982,71.489,79.147,87.678,80.660,87.435,73.039,84.460
751,160.077,102.555,61.033,76.538,63.564,72.933,67.262,126.775,111.441,104.439,166.902,69.000,92.784,71.469,82.260,95.912,106.686,68.404,77.827,106.346,72.659,115.888,87.579,92.077,104.973,74.361,92.811,96.483,73.188,67.296,77.066,65.430,64.749,71.993,94.175,81.308,85.927,84.155,82.719,72.993,78.902,86.966,80.720,86.562,72.549,81.947
752,161.068,102.241,61.173,75.474,63.477,72.481,67.388,127.785,111.299,105.027,166.537,69.904,92.530,71.565,81.804,96.074,107.197,68.217,77.830,106.564,72.731,116.284,87.484,91.490,104.985,74.099,93.705,96.954,72.523,66.592,76.693,65.330,65.614,71.339,94.038,82.669,84.330,83.610,83.729,72.525,78.190,86.897,80.084,86.839,71.209,81.940
753,161.457,103.698,60.980,75.995,63.884,73.243,66.819,126.810,110.405,105.624,166.998,69.452,91.915,71.879,81.475,95.714,105.598,68.250,78.263,105.860,72.890,116.302,88.258,91.831,104.304,73.149,93.327,95.325,73.170,66.966,77.241,65.565,65.264,70.567,93.848,82.398,83.503,83.624,82.838,71.539,78.470,87.313,80.199,86.683,71.637,80.223
754,160.887,102.197,60.934,76.127,64.019,73.061,67.098,126.359,110.778,105.126,167.176,70.090,92.472,71.879,82.190,95.611,106.825,67.875,78.276,107.839,73.148,116.436,87.925,91.671,104.117,73.974,92.530,96.291,73.556,67.753,77.334,65.122,65.337,71.078,93.446,82.113,83.319,84.244,82.954,72.872,78.507,87.481,81.490,86.832,71.265,80.268
755,161.695,103.059,60.538,75.949,63.858,73.200,67.398,127.048,111.061,104.056,166.346,70.136,91.578,71.645,82.480,96.278,106.943,67.562,78.432,106.176,73.863,117.005,89.476,91.129,103.807,73.872,92.859,96.318,72.430,67.137,76.493,65.120,65.233,70.480,94.086,81.767,83.410,83.845,83.106,73.099,79.452,87.554,81.648,86.873,70.657,80.392
756,160.622,102.258,61.398,76.619,63.951,73.328,67.346,125.719,110.897,104.074,165.760,69.693,92.588,72.017,81.684,95.315,106.180,68.262,77.922,105.683,72.868,116.642,89.846,91.856,105.190,73.325,92.751,96.483,73.022,67.180,77.049,66.026,64.869,70.951,93.544,82.639,82.226,84.427,84.242,72.277,77.530,87.536,80.323,86.447,70.317,79.834
757,161.182,103.346,61.074,76.355,63.746,72.948,66.867,126.516,111.116,104.128,165.715,69.797,92.352,71.746,82.358,96.614,106.385,67.446,78.347,105.845,73.731,116.592,90.250,91.731,104.910,74.060,93.395,97.179,72.342,67.533,77.014,65.950,65.541,70.592,93.661,82.805,81.973,85.146,84.059,72.383,78.654,86.047,79.919,86.822,70.775,78.585
