 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27
24,18.433,17.479,17.323,13.071,14.266,11.918,21.723,12.853,13.992,15.689,13.682,16.621,13.605,13.112,14.037,11.959,16.242,14.129,15.057,17.512,12.101,21.525,13.485,12.085,10.865,11.874,12.895
25,18.410,17.526,17.357,13.014,14.289,11.942,21.783,12.826,13.852,15.700,13.547,16.500,13.447,13.270,13.974,11.931,16.169,14.206,15.238,17.481,11.954,21.570,13.459,12.093,10.784,11.881,12.890
26,18.397,17.447,17.458,13.041,14.257,11.911,21.603,12.901,13.761,15.782,13.583,16.470,13.717,13.122,13.952,11.926,16.394,14.222,15.166,17.358,12.030,21.548,13.384,12.093,10.841,11.777,12.856
27,18.331,17.467,17.280,13.021,14.188,12.012,21.454,12.713,13.901,15.667,13.668,16.427,13.586,13.082,14.058,11.986,16.297,14.126,15.166,17.383,12.077,21.434,13.401,12.036,10.750,11.888,12.882
28,18.291,17.584,17.406,13.128,14.171,11.972,21.655,12.818,13.815,15.704,13.525,16.503,13.625,12.934,14.041,12.012,16.329,14.117,15.218,17.621,12.032,21.566,13.461,12.070,10.855,11.892,12.877
29,18.354,17.462,17.366,12.996,14.337,11.958,21.622,12.906,13.840,15.686,13.632,16.485,13.645,13.148,14.210,12.012,16.274,14.311,15.130,17.304,12.008,21.572,13.408,12.159,10.814,11.899,12.818
30,18.255,17.441,17.401,13.057,14.250,11.911,21.780,12.818,13.881,15.702,13.637,16.491,13.618,13.219,14.087,11.983,16.338,14.274,15.149,17.397,12.026,21.417,13.467,12.105,10.784,11.903,12.892
31,18.326,17.438,17.297,12.943,14.307,11.892,21.688,12.834,13.979,15.651,13.493,16.415,13.586,13.230,14.006,11.993,16.370,14.200,15.229,17.424,11.941,21.577,13.354,12.034,10.809,11.978,12.844
32,18.314,17.379,17.412,13.007,14.318,11.923,21.562,12.850,13.909,15.483,13.709,16.558,13.605,13.005,14.113,11.883,16.219,14.062,15.115,17.494,12.016,21.354,13.350,12.119,10.816,11.924,12.969
33,18.456,17.476,17.346,13.123,14.218,11.921,21.633,12.839,13.848,15.709,14.466,20.830,14.711,15.230,14.002,12.007,16.277,14.105,15.243,17.488,11.976,21.445,13.293,12.109,10.701,11.871,12.959
34,18.590,17.655,18.830,13.690,14.384,12.703,21.755,12.885,14.095,15.974,18.359,25.830,16.704,17.918,14.245,12.132,16.583,14.394,15.693,17.478,12.238,21.543,13.374,12.147,11.056,11.950,13.036
35,18.356,17.588,19.556,14.144,14.425,13.371,21.785,12.879,14.066,15.982,17.709,21.306,15.026,15.153,14.266,12.100,16.784,14.462,16.460,17.635,12.277,21.492,13.444,12.111,11.032,11.989,13.418
36,18.172,17.474,18.271,13.585,14.328,12.694,21.505,12.799,13.914,15.634,16.287,18.333,14.270,13.663,14.067,11.978,16.504,14.240,15.619,17.401,12.228,21.434,13.419,12.085,10.902,11.928,13.064
37,18.341,17.410,17.542,13.096,14.337,12.308,21.527,12.869,13.860,15.506,15.480,17.167,13.704,13.240,13.957,11.969,16.332,14.169,15.415,17.447,11.994,21.414,13.405,12.119,10.801,11.917,12.923
38,18.444,17.243,17.447,13.189,14.194,12.031,21.391,12.721,13.889,15.581,14.731,16.552,13.586,13.036,14.108,12.041,16.312,14.197,15.259,17.320,12.057,21.385,13.442,12.020,10.794,11.885,12.833
39,18.190,17.367,17.447,13.114,14.291,11.972,21.617,12.871,13.848,15.689,14.220,16.561,13.526,13.036,14.065,12.000,16.510,14.283,15.240,17.324,11.968,21.417,13.463,12.052,10.767,11.885,12.874
40,18.172,17.326,17.562,13.037,14.222,11.934,21.565,12.732,13.914,15.707,14.148,16.485,13.434,13.015,13.959,12.019,16.222,14.080,15.229,17.610,11.998,21.256,13.456,12.097,10.824,11.788,12.885
41,18.224,17.340,17.297,13.050,14.220,11.844,21.562,12.912,13.909,15.539,13.709,16.485,13.421,13.168,14.054,11.943,16.268,14.342,15.128,17.367,12.139,21.412,13.402,12.008,10.831,11.953,12.736
42,18.207,17.378,17.409,13.018,14.255,11.883,21.639,12.786,13.951,15.753,13.812,16.218,13.678,12.918,14.032,11.986,16.286,14.095,15.174,17.828,12.014,21.456,13.505,12.105,10.757,11.896,12.772
43,18.241,17.262,17.179,13.071,14.309,11.825,21.688,12.692,13.926,15.709,13.516,16.273,13.493,12.954,13.903,11.993,16.268,14.200,15.115,18.406,12.040,21.432,13.350,12.107,10.711,11.921,12.900
44,18.245,17.484,17.300,13.002,14.246,11.939,21.484,12.877,13.942,15.618,13.561,16.358,13.461,12.913,14.065,11.895,16.309,14.231,15.219,17.982,12.022,21.584,13.433,12.103,10.770,11.853,12.836
45,18.184,17.252,17.291,13.009,14.283,11.928,21.524,12.842,13.914,15.618,13.475,16.330,13.303,13.122,14.011,11.959,16.187,14.225,15.093,17.848,12.042,21.414,13.380,12.042,10.738,11.831,12.787
46,18.366,17.359,17.352,12.988,14.192,11.953,21.726,12.756,13.720,15.678,13.507,16.403,13.559,13.107,14.078,11.911,16.236,14.314,15.059,17.916,11.899,21.463,13.433,12.235,10.772,11.827,12.900
47,18.285,17.383,17.216,12.961,14.207,11.816,21.573,12.855,13.852,15.499,13.565,16.545,13.237,12.969,14.006,11.938,16.344,14.120,15.148,17.619,11.986,21.334,13.509,12.115,10.865,11.942,12.944
48,18.224,17.252,17.231,12.891,14.238,11.839,21.489,12.887,13.848,15.724,13.345,16.242,13.526,13.020,13.820,12.077,16.297,14.348,15.157,17.417,11.956,21.230,13.499,12.103,10.740,11.856,12.867
49,18.132,17.222,17.259,13.061,14.246,11.907,21.500,12.791,13.835,15.609,13.493,16.324,13.467,12.990,13.983,11.897,16.335,14.203,15.157,17.478,11.962,21.296,13.532,12.070,10.801,11.845,12.844
50,18.238,17.228,17.323,12.927,14.155,11.913,21.514,12.831,13.934,15.711,13.386,16.303,13.513,12.929,13.942,11.926,16.362,14.166,15.139,17.429,11.881,21.243,13.428,12.016,10.706,11.914,12.900
51,18.226,17.322,17.184,13.011,14.119,11.911,21.611,12.751,13.770,15.567,13.493,16.258,13.500,12.980,13.944,11.904,16.376,14.166,15.104,17.583,12.006,21.376,13.466,12.087,10.762,11.856,12.826
52,18.197,17.205,17.415,12.895,14.210,11.865,21.421,12.759,13.914,15.517,13.574,16.355,13.414,13.000,13.942,11.919,16.300,14.178,15.097,17.556,12.051,21.359,13.460,12.048,10.699,11.802,12.844
53,18.226,17.305,17.144,12.989,14.285,11.904,21.367,12.858,13.724,15.585,13.610,16.385,13.395,12.888,14.026,11.916,16.259,14.295,15.144,17.279,12.038,21.414,13.408,12.121,10.757,11.856,12.933
