 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1249,29.336,38.210,30.912,23.632,27.126,34.717,49.645,39.413,39.042,24.529,38.162,34.440,29.401,34.318,34.130,33.816,25.055,23.632,23.582,27.289,36.820,34.423,32.175,31.150,32.103,47.218,33.727,52.434
1250,29.155,38.491,30.978,23.749,27.000,34.564,49.587,39.172,39.184,24.578,38.063,34.394,29.819,34.200,34.454,33.949,28.008,24.028,23.693,27.453,36.814,34.520,32.232,31.369,32.585,47.250,34.107,52.731
1251,29.112,38.400,30.515,23.595,27.076,34.832,49.619,39.160,39.281,24.666,37.970,34.440,29.817,34.508,34.320,36.766,28.630,23.929,23.632,27.266,36.966,34.266,32.224,31.581,32.363,47.436,33.977,52.774
1252,29.188,38.193,30.838,23.791,27.004,34.647,49.824,39.166,39.640,24.490,38.287,34.494,29.784,34.339,33.972,34.596,27.723,23.838,23.700,27.141,37.036,34.247,32.096,31.534,32.600,47.344,33.903,52.289
1253,29.025,38.375,30.702,23.701,26.996,34.593,49.478,38.802,39.050,24.689,37.769,34.540,29.700,34.168,34.154,34.074,27.641,24.255,23.718,27.341,36.912,34.027,32.081,31.672,32.396,47.314,33.897,52.303
1254,50.137,65.761,35.040,31.156,34.641,49.261,67.456,55.387,46.053,28.164,48.186,43.225,34.789,44.561,39.851,36.106,30.956,27.862,25.889,29.685,43.889,39.875,39.716,39.448,40.241,56.761,34.727,52.976
1255,58.305,68.124,36.140,33.402,34.876,61.708,80.989,78.020,47.827,31.270,57.674,46.859,38.381,70.455,53.415,37.043,29.824,27.073,24.907,28.500,44.409,40.469,43.065,41.027,42.322,59.002,34.497,52.988
1256,47.756,54.302,33.007,29.577,29.972,51.593,66.096,61.554,42.761,28.180,51.120,40.693,35.690,60.647,45.073,34.891,29.760,26.028,24.552,27.732,39.752,36.653,37.739,36.325,37.047,52.679,34.110,53.030
1257,40.349,47.453,31.768,26.566,28.048,43.891,57.649,49.434,41.033,26.121,44.817,37.049,33.674,49.108,39.264,34.335,29.593,25.431,24.130,27.388,37.867,35.427,34.906,33.254,34.196,49.603,34.000,52.343
1258,36.041,43.516,31.283,25.299,27.261,39.869,54.032,43.992,39.805,25.391,41.754,35.724,32.952,42.453,36.420,33.960,28.473,24.830,23.682,27.362,37.199,34.913,33.654,32.123,32.883,48.475,33.807,52.915
