 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32
77,47.845,42.115,45.596,39.098,27.591,25.798,23.427,20.243,22.115,33.334,28.986,31.244,31.324,49.071,44.669,41.510,30.576,29.259,25.299,31.992,38.432,37.460,29.053,21.105,50.966,25.342,19.706,21.397,19.455,19.046,17.944,17.169
78,47.036,39.707,44.603,38.607,27.026,25.112,22.789,20.336,21.870,32.650,28.201,30.802,31.952,47.970,44.982,40.631,30.035,28.186,24.919,31.032,36.535,36.510,28.315,20.922,52.259,24.940,19.433,21.348,19.354,19.015,17.907,17.104
79,46.363,37.474,43.955,37.628,26.366,24.602,22.728,20.113,21.453,32.023,27.768,30.588,30.533,47.572,44.714,39.770,29.720,27.127,24.524,30.406,35.004,35.579,27.777,20.379,52.992,24.620,19.371,21.315,19.414,18.991,18.034,17.033
80,45.898,36.454,44.053,37.324,26.352,24.135,22.636,20.128,21.383,31.593,27.176,30.237,30.971,46.704,44.613,39.459,30.215,29.804,24.691,30.674,37.389,35.274,27.484,22.036,55.020,24.087,19.343,21.258,19.480,19.064,18.022,16.941
81,48.485,43.596,44.013,38.550,29.066,23.533,23.377,19.972,22.558,32.572,28.055,30.762,33.714,49.862,44.546,41.238,33.457,36.510,28.067,35.746,46.992,38.028,30.882,28.444,55.809,25.339,21.616,21.772,19.413,19.107,17.998,16.950
82,47.935,43.096,42.526,37.689,29.434,23.243,23.718,19.989,22.676,32.593,28.521,31.059,33.037,51.895,44.648,43.567,33.611,36.806,28.613,36.818,46.598,39.402,31.328,28.522,57.274,26.151,22.418,21.835,19.393,19.012,18.351,16.844
83,47.120,40.705,41.248,37.025,28.601,23.065,23.140,20.108,22.292,32.234,27.914,30.592,31.149,51.528,44.864,42.915,33.244,35.857,28.215,35.954,45.672,38.461,31.004,27.560,58.783,25.692,22.655,21.441,19.414,19.004,18.032,16.835
84,45.524,38.128,39.919,36.240,27.814,22.540,22.852,19.977,21.728,31.549,27.350,29.917,30.024,49.796,44.758,41.909,32.772,34.188,27.462,34.638,44.383,37.531,30.218,26.297,60.249,25.350,22.159,21.276,19.453,19.039,17.978,16.749
85,44.621,35.878,38.380,35.568,27.249,22.065,22.361,20.049,21.458,30.540,26.418,29.326,28.838,48.208,44.784,41.180,32.450,32.259,26.505,33.533,41.697,36.109,29.330,25.496,63.204,24.884,21.631,21.186,19.450,19.093,18.073,16.508
86,43.820,33.905,37.575,34.753,26.680,21.910,22.195,19.948,21.201,30.189,25.746,28.957,28.164,47.348,44.818,40.790,32.055,31.023,25.997,32.397,39.059,35.286,28.561,24.652,65.203,24.499,21.107,20.937,19.358,19.099,18.017,16.569
87,42.553,33.127,37.019,34.253,26.159,21.755,21.828,19.987,21.275,29.488,25.267,28.238,27.106,45.672,44.643,40.237,30.997,30.243,25.213,31.449,38.203,34.375,27.933,23.953,68.197,24.202,20.601,20.757,19.505,19.101,17.943,16.527
88,45.637,39.764,40.434,35.087,25.780,21.480,21.720,19.987,21.717,30.988,25.202,28.169,26.589,43.967,44.796,39.979,31.457,29.721,24.971,30.509,36.584,33.911,27.882,23.239,70.952,23.803,20.513,21.072,19.488,19.059,18.059,16.495
89,46.279,39.835,40.688,34.783,25.576,21.387,21.689,19.854,21.753,31.435,24.765,27.736,26.332,42.647,44.653,39.504,31.347,28.882,24.524,29.602,35.730,33.603,27.619,22.656,71.740,23.415,20.221,20.961,19.368,19.113,17.954,16.618
90,45.607,39.745,39.421,34.130,25.559,21.305,21.346,20.009,21.536,31.131,24.434,27.507,25.740,41.209,44.833,39.332,31.203,29.452,24.146,29.096,35.227,32.852,27.308,22.263,73.044,23.342,19.908,20.988,19.508,19.050,17.932,16.512
91,45.305,37.774,39.083,33.404,25.708,21.067,21.454,19.883,21.225,30.103,24.123,27.112,25.446,39.792,44.658,38.674,30.428,28.844,24.071,28.322,33.727,32.373,26.636,21.594,74.879,23.141,19.755,20.845,19.455,19.082,18.145,16.486
