 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
265,34.856,28.932,29.082,27.765,27.533,27.461,27.965,27.282,27.693,24.183,22.142,21.212,21.004,21.541,22.580,25.092,25.610,23.515,25.464,24.156,20.129
266,34.672,28.885,28.929,27.716,27.489,27.413,27.853,27.098,27.519,24.218,21.962,21.097,21.063,21.470,22.511,25.081,25.832,23.613,25.826,24.156,20.025
267,34.518,28.989,28.873,27.788,27.417,27.429,27.969,26.959,27.548,24.333,21.944,21.278,20.964,21.668,22.477,25.023,25.840,23.672,25.455,23.944,20.149
268,34.931,29.024,28.782,27.590,27.335,27.335,27.975,27.200,27.435,24.171,22.066,21.564,20.939,21.608,22.480,24.981,25.693,23.493,25.655,23.984,20.007
269,34.704,28.972,29.034,27.575,27.196,27.424,27.930,27.144,27.809,24.267,22.026,21.201,21.000,21.622,22.550,25.234,25.702,23.765,25.570,24.116,19.982
270,34.842,28.899,29.116,27.864,27.675,27.263,27.882,27.094,27.862,24.328,22.028,21.266,21.004,21.526,22.591,25.371,25.674,23.672,25.489,24.204,20.160
271,34.661,29.011,29.063,27.795,27.630,27.467,27.800,27.059,27.537,24.235,22.006,21.174,20.941,21.558,22.499,25.364,25.783,23.429,25.562,24.016,20.083
272,34.734,28.959,28.962,27.723,27.680,27.173,27.843,27.295,27.590,24.208,22.024,21.232,20.863,21.652,22.593,25.143,25.890,23.409,25.562,24.080,19.995
273,34.666,29.066,28.962,27.541,27.457,27.316,27.841,27.308,27.795,24.255,21.968,21.255,20.955,21.559,22.499,25.221,25.745,23.483,25.796,24.080,20.054
274,34.590,29.117,28.890,27.790,27.504,27.475,27.899,27.124,27.276,24.263,22.134,21.263,21.073,21.615,22.548,25.130,25.828,23.483,25.983,24.127,20.029
