 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
64,44.961,22.452,30.124,28.774,24.621,27.128,23.420,20.542,20.271,29.596,19.436,20.250,25.496,21.652,23.988,21.101,22.105,31.431,19.531,23.900,19.494,17.924,18.090,16.923,20.548,15.453,19.472,21.050,21.261,17.911,18.790,51.452,29.574,19.416,15.522,23.199,17.410,21.670
65,44.600,22.545,30.031,28.968,24.486,27.061,23.465,20.523,20.134,29.377,19.171,20.440,25.483,21.878,23.760,21.220,22.638,30.904,19.703,23.909,19.745,17.897,18.081,16.769,20.469,15.191,19.299,21.155,21.083,17.928,18.642,51.869,29.493,19.588,15.477,23.439,17.306,21.719
66,44.338,22.647,30.304,29.370,24.793,27.063,23.499,20.518,20.220,29.410,19.192,20.338,25.458,22.195,23.701,21.152,22.683,30.584,19.829,24.000,19.506,17.696,18.316,16.716,20.577,15.396,19.447,20.941,21.201,17.888,18.788,51.523,29.526,19.386,15.491,23.163,17.536,21.769
67,43.822,22.482,30.317,30.117,24.770,26.881,23.420,20.601,20.223,29.648,19.503,20.149,25.436,21.938,23.815,21.093,22.299,30.122,19.544,24.280,19.805,17.848,18.162,16.892,20.588,15.418,19.302,20.967,21.218,17.945,18.677,51.871,29.581,19.432,15.485,23.183,17.454,21.778
68,43.842,22.512,30.120,29.672,24.537,27.017,23.281,20.480,20.178,29.449,19.319,20.157,25.522,21.918,23.760,21.201,22.082,29.583,19.656,24.043,19.482,17.880,18.167,17.017,20.582,15.329,19.398,20.891,21.121,17.922,18.810,51.650,29.581,19.576,15.500,23.285,17.587,21.717
69,43.519,22.427,30.137,29.138,24.511,26.898,23.458,20.384,20.070,29.482,19.341,20.338,25.446,21.768,23.910,21.166,22.654,29.346,19.671,23.728,19.331,17.739,18.141,16.820,20.499,15.369,19.534,21.038,21.244,18.032,18.661,51.343,29.482,19.431,15.441,23.285,17.379,21.665
70,43.260,22.447,30.039,29.144,24.715,26.881,23.304,20.505,20.147,29.190,19.612,20.299,25.418,21.886,23.726,21.156,22.246,28.791,19.577,23.869,19.478,17.995,18.051,16.940,20.543,15.307,19.305,21.142,21.034,17.810,18.674,51.176,28.886,19.544,15.492,23.459,17.312,21.795
71,42.910,22.521,29.987,29.100,24.817,27.024,23.168,20.440,20.061,29.217,19.416,20.136,25.487,22.140,23.725,21.098,21.912,28.465,19.765,23.963,19.534,17.690,18.137,16.942,20.499,15.400,19.316,21.151,21.011,17.817,18.807,51.227,29.515,19.498,15.443,23.476,17.457,21.729
72,42.769,22.471,30.128,30.581,24.714,27.068,23.279,20.513,20.117,29.229,19.209,20.187,25.370,22.065,23.692,21.121,21.807,28.111,19.706,24.011,19.490,17.641,18.184,16.846,20.410,15.316,19.427,21.126,21.060,17.759,18.624,50.869,29.500,19.408,15.391,22.886,17.577,21.575
73,42.738,22.427,29.895,29.883,24.547,27.063,23.220,20.384,20.194,29.208,19.399,19.929,25.298,21.829,23.671,21.083,22.026,27.664,19.653,23.892,19.558,17.636,18.000,16.844,20.442,15.449,19.581,20.992,21.195,17.863,18.659,51.078,29.379,19.550,15.470,23.244,17.325,21.712
74,42.553,22.504,29.929,29.387,24.463,26.823,23.240,20.448,20.185,29.241,19.541,19.938,25.395,21.735,23.723,21.095,21.865,27.380,19.708,23.902,19.538,17.712,18.030,16.800,20.502,15.320,19.371,20.992,21.034,17.705,18.672,50.797,29.390,19.573,15.417,23.114,17.479,21.755
