 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
198,72.551,75.436,75.110,81.872,75.243,74.432,74.546,76.266,74.434,75.351,70.211,70.457
199,73.089,74.714,75.118,81.887,75.641,74.596,75.245,76.663,73.755,75.355,70.982,70.448
200,72.443,75.084,75.008,81.000,74.857,73.917,74.849,76.496,73.873,75.714,70.995,70.494
201,72.368,75.192,74.738,81.223,75.350,74.734,74.910,76.606,74.375,75.292,70.833,70.477
202,73.449,77.779,77.026,82.015,79.289,77.139,78.636,80.515,74.855,76.326,70.888,71.274
203,73.531,80.339,78.593,81.411,79.948,78.609,79.705,83.136,76.218,76.962,71.234,71.272
204,73.718,79.422,77.715,80.957,79.085,77.776,77.680,81.100,75.971,76.834,71.031,71.598
205,73.270,78.587,77.804,81.484,78.869,76.332,76.293,80.666,75.963,77.057,71.486,71.184
206,72.801,77.785,77.230,81.356,78.404,76.853,75.764,80.123,76.108,77.080,71.140,71.364
207,72.976,78.449,77.266,81.088,78.793,75.368,75.970,80.096,75.576,76.326,70.980,70.574
208,72.415,77.427,76.037,81.326,77.362,74.529,75.127,78.842,76.076,76.563,71.122,71.598
209,72.592,77.553,76.364,81.815,77.277,74.914,75.019,79.159,75.547,76.595,71.350,71.209
210,72.922,77.081,76.303,80.910,77.325,74.485,75.142,78.912,75.811,76.187,71.279,70.463
211,72.646,76.124,75.281,81.521,76.502,74.302,74.880,78.103,75.120,76.433,70.772,70.859
212,72.395,76.352,75.670,81.441,76.626,74.834,75.164,77.722,74.515,76.141,71.272,71.164
213,72.542,76.607,75.986,81.501,75.976,74.695,74.400,77.650,74.701,76.145,71.337,70.808
214,72.742,76.164,75.244,81.248,76.884,74.510,75.097,77.395,74.659,76.221,70.950,70.102
215,72.462,75.871,75.306,80.877,76.383,74.335,74.383,77.957,74.635,75.845,71.080,70.419
216,73.143,75.853,75.043,81.574,76.164,74.571,74.456,77.158,73.985,76.248,70.981,70.214
217,72.596,75.521,74.892,81.669,75.559,74.014,75.271,76.747,74.181,75.685,70.798,70.506
218,72.815,75.326,74.882,81.586,75.675,74.629,74.979,76.563,73.672,75.765,70.921,70.615
219,72.190,75.518,74.893,82.293,75.590,74.787,74.413,76.266,74.238,75.668,70.815,70.126
220,72.564,74.836,75.276,81.534,75.325,74.825,74.594,76.274,73.797,75.830,70.802,70.648
221,72.395,75.379,74.737,80.977,76.006,73.947,74.826,76.786,73.495,75.775,71.356,70.475
222,72.469,75.138,75.439,81.241,75.565,74.693,74.822,76.336,73.174,75.475,70.793,70.419
223,72.420,75.174,75.000,81.120,74.754,74.529,74.860,76.258,73.983,75.662,70.783,70.306
224,72.382,75.066,74.876,81.165,75.307,74.119,74.482,76.064,74.208,75.347,71.181,70.504
225,72.434,74.863,74.981,81.441,75.222,74.277,74.890,76.452,73.576,75.256,70.923,70.352
226,72.249,75.181,74.789,80.852,75.623,74.654,74.897,76.291,73.623,75.397,71.253,70.082
227,72.512,75.421,75.309,81.897,75.371,74.413,74.725,76.122,73.728,75.422,71.089,70.396
228,72.666,75.058,74.836,81.088,74.660,74.122,75.265,75.994,74.422,75.616,70.876,70.423
229,72.439,75.217,75.389,80.734,75.535,74.191,74.776,76.093,73.770,75.523,70.708,70.716
230,72.028,75.553,75.100,81.203,74.845,75.152,75.417,76.191,73.757,75.489,70.870,70.304
231,72.338,75.169,75.292,81.799,75.353,74.288,75.103,76.486,73.914,75.248,70.764,70.653
232,72.371,75.220,75.474,81.221,75.304,74.778,75.350,77.182,73.728,75.183,70.895,70.399
