 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
338,106.411,216.410,49.803,46.440,42.826,38.911,57.631,73.705,56.387,38.385,60.755,59.563,54.362,39.174,41.447,42.029,58.015,51.293,78.984,70.378,79.592,244.390,158.503,66.860,57.278,64.670,37.354,43.122,41.488,48.015,46.629,43.785,46.392,52.590,40.889,41.432,40.947,32.171,30.413,31.367,35.403,43.373,35.782,43.715,44.812,43.956,42.680,47.777,43.145,44.552
339,104.594,209.102,48.614,46.209,41.246,37.686,55.180,69.557,56.215,37.963,59.239,59.085,53.671,39.147,41.124,42.226,56.983,49.809,74.030,66.773,78.203,240.322,145.405,65.791,57.719,63.324,36.883,43.013,41.087,47.494,45.828,42.167,44.766,51.917,39.714,41.217,40.921,32.185,30.611,31.235,35.371,43.036,35.959,44.358,44.661,44.058,42.251,47.185,43.338,44.130
340,101.960,202.299,48.317,45.916,40.328,37.844,54.008,67.314,55.759,37.763,58.669,59.087,52.897,39.072,40.872,41.991,56.823,48.531,70.543,63.983,76.570,236.730,135.393,66.593,57.618,62.915,37.059,43.389,41.151,47.528,44.869,41.298,44.569,51.596,39.276,41.019,40.481,32.063,30.592,30.951,35.483,43.039,35.581,44.378,44.432,43.685,42.575,46.336,43.306,44.380
341,100.005,196.736,48.784,45.586,39.720,37.895,51.845,64.938,55.968,37.378,58.606,58.734,52.426,38.973,41.208,41.873,56.289,48.005,66.777,62.093,75.946,234.152,126.150,66.508,57.216,62.698,36.898,42.948,40.979,47.383,44.317,40.120,43.792,51.647,38.710,40.542,40.472,31.948,30.568,30.880,35.453,42.856,35.855,44.302,45.041,43.577,42.322,46.812,43.475,44.429
342,100.980,190.571,48.216,45.822,39.047,37.806,51.075,62.833,56.294,37.768,58.673,59.429,52.003,39.276,41.216,41.665,56.419,46.889,64.599,59.784,76.535,238.909,118.809,65.469,57.021,62.407,37.048,43.173,40.873,47.218,43.967,39.304,43.422,52.230,38.633,40.836,40.260,32.096,30.451,30.870,35.187,42.817,35.703,44.358,44.675,43.577,42.215,46.664,43.543,44.406
343,109.431,185.083,48.991,49.419,38.750,37.470,57.723,61.304,56.045,37.866,60.598,59.075,52.251,39.072,41.807,41.339,56.194,46.746,63.187,59.151,78.550,250.499,123.440,64.657,57.310,66.896,36.713,43.465,40.823,46.846,44.810,38.850,43.452,51.623,39.845,40.444,40.467,32.185,30.603,31.117,35.335,43.147,35.848,43.806,44.497,45.376,42.582,47.148,43.156,44.110
344,108.460,180.836,48.219,48.277,38.672,37.709,58.087,59.977,56.143,37.491,62.077,58.898,52.259,39.293,41.834,41.560,56.360,45.936,61.363,58.331,77.504,249.197,124.882,65.087,57.037,67.698,36.748,43.138,40.573,46.761,45.869,38.484,43.713,51.792,40.529,40.693,40.050,32.035,30.576,30.900,35.307,43.079,35.764,44.403,44.360,45.533,42.354,46.869,43.101,44.486
345,105.787,174.927,48.320,47.571,38.511,37.597,56.093,58.877,56.215,37.528,60.153,58.654,51.482,39.210,41.933,41.673,56.385,45.829,59.697,57.168,76.589,245.705,118.181,65.839,56.978,65.777,36.709,43.325,40.700,47.156,45.984,38.732,42.897,51.645,39.640,40.817,40.062,32.055,30.613,30.811,35.236,43.418,35.680,43.858,44.716,45.202,42.545,46.784,42.914,44.631
346,103.745,170.444,47.712,46.141,38.362,37.433,54.455,57.903,56.090,37.434,59.256,58.874,51.251,39.237,41.641,41.199,56.038,45.272,58.424,56.294,75.711,241.490,112.402,65.254,57.250,64.703,36.724,43.330,40.465,46.684,46.821,38.764,42.566,51.765,38.983,40.667,40.228,32.099,30.317,30.876,35.385,43.091,35.812,44.097,44.784,44.743,42.285,46.587,43.358,44.153
347,100.575,165.241,46.890,45.686,37.922,37.198,52.555,57.021,56.041,37.379,58.258,58.856,50.602,39.371,41.405,41.388,55.691,45.070,58.148,55.117,74.012,238.825,106.449,65.300,56.993,64.121,36.727,43.441,40.568,46.764,47.643,38.345,42.597,51.487,38.609,40.580,39.995,31.927,30.488,30.873,35.200,42.911,35.520,44.455,44.990,44.290,42.367,46.563,43.083,44.019
348,98.636,161.571,45.890,45.215,37.924,37.394,50.727,56.539,56.098,37.055,57.817,59.065,51.047,39.635,41.214,41.142,56.068,44.779,56.817,54.061,74.186,234.549,100.927,65.448,56.884,63.099,36.694,43.184,40.459,46.679,48.326,38.520,42.483,51.452,38.886,40.477,39.985,31.802,30.699,30.509,35.282,43.204,35.574,44.330,45.164,44.323,41.977,46.514,43.190,44.238
349,96.267,156.250,46.509,45.181,37.690,37.443,49.627,55.833,55.842,37.263,57.359,58.913,50.306,39.338,41.321,41.150,55.913,44.572,56.137,53.297,72.289,231.048,97.008,64.628,56.679,61.948,36.719,43.054,40.351,46.627,48.777,38.607,42.498,51.678,38.424,40.185,40.050,31.930,30.619,30.587,35.070,43.158,35.693,44.299,44.668,43.983,42.108,46.230,43.314,43.612
350,94.017,153.486,45.781,45.335,37.627,36.996,48.288,55.238,55.845,37.044,58.065,58.630,50.125,38.973,41.208,41.252,55.949,44.503,55.758,52.956,71.702,226.853,93.421,64.419,56.613,62.102,36.647,43.363,40.077,46.685,48.599,38.833,42.716,51.421,38.768,40.214,40.041,32.072,30.328,30.467,35.044,42.923,35.734,44.257,44.178,43.845,42.193,46.354,42.899,44.002
351,92.900,149.738,44.901,44.649,37.455,37.230,47.482,54.674,56.026,37.130,58.043,59.427,50.671,39.157,41.023,41.101,55.962,44.537,55.098,52.400,71.714,223.803,89.393,64.039,56.717,61.168,36.766,43.068,40.407,46.685,48.516,39.047,42.072,51.292,38.498,40.254,39.768,31.986,30.445,30.542,35.474,43.310,35.442,44.503,44.401,43.950,42.057,46.157,43.748,43.794
