 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26
80,88.061,90.697,89.621,90.028,85.117,112.574,99.877,92.438,93.316,106.581,97.361,102.356,115.298,92.845,89.724,102.331,94.192,87.973,83.466,88.790,94.214,84.669,81.937,95.211,95.994,100.653
81,89.224,91.512,89.724,90.511,84.425,111.986,100.687,92.981,94.011,106.287,97.193,102.737,114.643,92.114,87.867,102.246,94.308,87.116,83.614,89.220,92.886,84.611,81.771,94.401,96.800,100.913
82,88.842,91.192,89.599,90.156,84.736,112.193,100.667,93.988,93.790,107.239,96.559,103.225,115.449,92.657,87.878,102.025,94.313,88.179,83.262,88.847,93.169,84.472,81.841,94.854,96.279,101.572
83,88.575,92.040,89.624,89.866,84.920,112.351,100.216,93.373,94.227,106.993,96.972,102.946,113.953,93.221,89.007,102.386,94.430,87.490,83.711,89.405,92.226,84.271,82.276,94.132,96.249,100.803
84,89.099,91.429,89.717,90.892,84.286,112.206,100.425,93.569,94.233,106.197,96.934,102.940,114.709,92.553,88.482,101.738,94.023,86.935,83.018,88.631,93.532,84.480,82.183,94.377,94.878,101.046
85,88.220,91.223,89.177,90.196,84.201,112.908,100.622,93.565,94.330,105.791,96.783,101.896,114.723,91.937,88.370,102.586,94.135,87.257,83.511,88.482,93.330,84.553,81.921,94.318,96.255,101.881
86,88.395,91.844,89.597,90.539,84.782,111.642,100.437,92.826,94.635,106.171,97.309,102.447,115.687,91.038,87.878,101.940,94.074,87.152,83.546,89.213,92.855,84.485,82.428,94.012,96.028,101.564
87,89.880,90.315,89.145,90.784,84.839,112.281,100.694,94.104,94.561,106.121,96.351,102.349,115.341,92.637,88.569,103.561,93.655,87.378,83.266,89.163,93.670,84.729,82.068,94.868,95.128,101.091
88,88.733,90.685,88.920,90.393,84.714,112.513,100.641,93.738,93.666,105.709,95.915,102.622,115.538,91.881,88.431,102.554,93.669,87.868,83.418,89.581,92.710,83.935,81.772,94.819,96.147,101.047
89,88.991,91.472,89.068,90.523,84.475,112.578,100.982,92.255,94.289,107.050,97.321,102.183,115.780,92.056,88.672,102.623,93.508,86.960,83.508,89.601,93.418,84.621,82.209,94.687,95.731,101.193
90,88.683,91.367,89.589,90.194,84.591,111.953,100.404,93.546,93.956,106.434,97.090,102.447,115.912,92.089,88.304,102.614,93.830,87.492,83.405,88.874,93.648,84.877,82.106,94.771,96.094,101.660
91,88.549,91.211,90.330,90.180,83.666,112.008,100.334,93.289,94.323,106.983,97.087,102.739,114.282,93.226,88.269,101.899,93.820,88.904,84.234,89.049,92.995,84.172,81.853,94.499,95.742,101.057
92,88.426,90.891,89.743,90.112,84.493,112.384,99.956,93.488,93.421,106.986,96.616,102.320,115.481,91.942,88.536,102.280,93.996,88.235,84.206,89.066,93.758,84.918,82.120,94.691,95.438,100.883
