 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56
313,13.630,14.187,22.899,16.947,68.745,33.706,17.552,20.073,14.153,46.779,37.193,22.685,17.699,30.466,60.336,18.032,14.397,18.124,12.226,13.710,21.049,10.283,11.895,11.980,11.887,12.058,9.848,9.469,10.308,18.898,38.874,16.741,24.731,12.558,13.909,11.839,14.859,11.653,10.617,16.831,23.215,14.239,18.284,12.190,12.154,15.025,13.193,15.533,12.293,13.080,25.374,12.975,12.357,13.682,13.470,10.777
314,13.578,14.042,22.411,17.082,68.634,32.960,17.500,20.097,14.200,46.430,36.482,22.684,17.303,30.243,60.269,17.669,14.376,18.149,12.149,13.442,21.041,10.179,11.994,12.077,11.885,11.952,9.867,9.462,10.334,18.661,38.551,16.533,24.608,12.519,13.979,11.875,14.762,11.649,10.519,16.562,23.277,14.112,18.263,12.163,12.185,14.850,13.173,15.474,12.342,13.066,25.239,13.066,12.245,13.595,13.361,10.741
315,13.289,13.941,22.342,16.880,68.159,32.576,17.479,19.857,14.159,45.907,35.892,22.789,17.164,30.288,60.191,17.374,14.245,18.011,12.124,13.323,20.911,10.139,11.926,12.012,11.747,12.013,9.788,9.463,10.267,18.684,38.565,16.451,24.527,12.519,13.941,11.855,14.935,11.635,10.517,16.589,23.396,13.910,18.192,12.079,12.198,14.792,13.241,15.381,12.260,13.115,24.922,12.884,12.212,13.564,13.222,10.805
316,13.479,13.837,22.030,17.069,68.247,32.144,17.620,19.785,14.167,45.523,35.335,22.675,16.988,30.021,60.449,16.998,14.115,17.861,12.029,13.360,20.895,10.202,11.980,12.038,11.876,12.160,9.762,9.476,10.310,18.394,38.340,16.464,24.696,12.469,13.786,11.783,14.932,11.573,10.575,16.729,23.409,13.861,18.228,12.068,12.125,14.704,12.937,15.464,12.299,13.065,24.740,12.876,12.193,13.789,13.164,10.732
317,13.229,13.645,21.550,16.851,67.975,31.897,17.547,19.642,14.101,45.002,34.811,22.605,16.700,29.662,60.134,16.833,14.069,17.653,12.143,13.247,20.943,10.171,12.012,12.104,11.834,12.100,9.856,9.462,10.297,18.163,38.332,16.412,24.658,12.437,13.797,11.819,14.816,11.603,10.590,16.676,23.285,13.811,18.073,12.082,12.165,14.645,13.017,15.322,12.252,12.970,24.487,12.909,12.245,13.637,13.301,10.800
318,13.120,13.641,21.533,16.815,67.762,31.421,17.558,19.598,14.156,44.591,34.217,22.713,16.486,29.434,60.308,16.417,14.016,17.672,12.094,13.190,20.961,10.247,11.926,12.016,11.793,12.072,9.877,9.439,10.248,17.910,38.307,16.409,24.711,12.558,13.717,11.837,14.748,11.615,10.487,16.488,23.282,13.692,18.051,12.109,12.133,14.558,13.061,15.471,12.223,13.141,24.051,12.994,12.457,13.668,13.385,10.757
319,13.193,13.530,21.188,16.901,67.607,31.066,17.503,19.565,14.240,43.860,33.656,22.757,16.492,29.335,60.349,16.143,13.968,17.672,12.029,13.014,20.907,10.251,11.998,12.071,11.907,12.158,9.813,9.437,10.380,17.727,38.031,16.266,24.488,12.580,13.726,11.872,14.767,11.669,10.530,16.723,23.347,13.679,17.965,12.016,12.078,14.512,13.088,15.201,12.332,12.958,23.881,12.973,12.424,13.564,13.496,10.749
320,13.107,13.447,20.946,16.924,67.470,30.598,17.613,19.531,14.086,43.819,33.341,22.639,16.239,29.472,60.330,15.835,13.968,17.553,11.987,13.000,20.906,10.309,11.957,12.092,11.960,12.042,9.713,9.488,10.296,17.579,37.972,16.291,24.379,12.546,13.751,11.867,14.775,11.652,10.476,16.715,23.236,13.559,17.951,12.052,12.082,14.324,13.024,15.315,12.229,12.902,23.698,12.878,12.483,13.637,13.227,10.728
321,12.919,13.347,20.889,16.876,66.999,30.177,17.440,19.428,13.997,43.411,32.720,22.601,16.013,28.967,60.019,15.697,13.933,17.481,12.036,12.993,20.955,10.261,11.939,11.957,11.809,12.150,9.875,9.459,10.324,17.474,37.971,16.211,24.476,12.500,13.599,11.894,14.631,11.670,10.468,16.729,23.060,13.579,17.816,12.009,12.066,14.298,13.100,15.522,12.272,13.018,23.718,12.839,12.390,13.574,13.253,10.678
322,13.013,13.328,20.557,16.669,67.052,29.752,17.508,19.230,14.089,43.582,32.262,22.732,16.017,28.905,59.931,15.444,13.835,17.535,12.055,12.811,20.936,10.171,11.982,11.980,11.730,12.048,9.797,9.437,10.276,17.291,37.929,16.289,24.603,12.476,13.637,11.852,14.694,11.638,10.513,16.810,23.225,13.678,17.930,11.953,12.020,14.217,12.980,15.291,12.174,12.935,23.319,12.818,12.413,13.644,13.259,10.779
323,13.099,13.225,20.439,16.931,66.834,29.401,17.474,19.113,14.093,43.803,31.950,22.644,15.790,28.847,60.341,15.258,13.869,17.221,12.099,12.780,20.938,10.243,12.012,12.021,11.816,12.067,9.879,9.426,10.319,17.181,37.922,16.088,24.718,12.435,13.613,11.862,14.965,11.646,10.494,16.742,23.337,13.456,17.762,12.019,12.035,14.159,13.017,15.415,12.187,13.091,23.186,12.932,12.309,13.619,13.364,10.795
324,12.906,13.030,20.188,16.903,66.516,29.139,17.539,19.093,14.046,43.402,31.560,22.563,15.716,28.672,60.175,15.209,13.709,17.283,12.048,12.825,20.689,10.286,12.023,12.072,11.907,12.002,9.803,9.443,10.265,17.099,37.572,16.178,24.627,12.495,13.630,11.906,14.686,11.610,10.415,16.742,23.073,13.463,17.686,12.033,12.058,14.113,12.902,15.104,12.187,12.952,23.012,12.820,12.294,13.640,13.414,10.703
325,12.901,13.005,20.054,16.749,66.462,28.937,17.377,19.021,14.103,42.893,31.130,22.601,15.745,28.520,60.281,14.964,13.759,17.200,11.996,12.748,20.722,10.193,11.980,12.030,11.766,12.083,9.838,9.416,10.241,16.858,37.629,16.094,24.528,12.372,13.622,11.848,14.805,11.553,10.428,16.589,22.977,13.375,17.681,11.952,12.087,14.040,13.000,15.260,12.234,12.953,22.865,12.857,12.201,13.602,13.264,10.714
326,12.984,13.055,19.756,16.964,66.260,28.576,17.631,18.983,14.061,42.554,30.890,22.794,15.575,28.555,60.075,14.812,13.587,17.378,11.916,12.699,20.685,10.254,11.980,12.055,11.842,12.045,9.873,9.456,10.278,16.827,37.345,16.098,24.662,12.428,13.621,11.803,14.856,11.593,10.423,16.731,23.334,13.468,17.696,11.987,11.960,13.943,12.890,15.156,12.148,13.018,22.609,12.868,12.357,13.647,13.243,10.678
327,12.961,12.968,19.645,16.709,66.427,28.283,17.550,18.875,14.077,42.359,30.407,22.668,15.355,28.439,60.108,14.717,13.690,17.354,11.975,12.645,20.717,10.230,11.939,12.146,11.833,12.065,9.791,9.532,10.259,16.776,37.523,16.007,24.656,12.408,13.586,11.856,15.024,11.726,10.393,16.624,23.057,13.395,17.667,11.953,12.090,13.950,13.034,15.170,12.223,13.090,22.660,12.748,12.297,13.446,13.208,10.741
328,12.805,12.726,19.431,16.956,65.861,28.005,17.411,18.868,14.010,41.960,30.034,22.672,15.357,28.303,60.436,14.724,13.578,17.296,12.013,12.497,20.844,10.183,12.006,12.072,11.827,12.152,9.776,9.472,10.273,16.677,37.691,16.078,24.373,12.556,13.535,11.848,14.967,11.612,10.440,16.822,22.959,13.211,17.575,11.888,12.157,13.871,13.054,15.277,12.187,12.927,22.380,12.841,12.260,13.561,13.248,10.775
329,12.872,12.897,19.277,16.903,65.827,27.751,17.615,18.854,13.955,41.691,29.902,22.639,15.236,28.084,59.945,14.591,13.580,17.153,11.985,12.539,20.715,10.166,11.961,12.051,11.843,12.100,9.819,9.483,10.278,16.492,37.815,16.059,24.445,12.529,13.573,11.806,15.049,11.653,10.392,16.562,23.075,13.308,17.590,12.076,12.118,13.800,12.959,15.031,12.179,12.978,22.178,12.742,12.357,13.647,13.269,10.721
