 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
312,73.371,67.622,82.858,81.188,78.369,105.835,80.278,118.205,137.530,109.314,137.623,109.722,123.523,92.380,102.684,100.549,108.984,139.945,128.596,113.856,144.703,79.442,74.512,116.458,77.054,84.724,104.594,128.204,165.575,86.472,86.997,128.980,100.686,97.671,125.975,83.921,112.267,102.177,88.125
313,74.029,67.428,81.339,81.923,79.118,104.606,80.769,118.261,137.166,110.437,135.885,110.165,125.095,93.410,103.190,100.467,108.576,141.463,130.652,112.278,144.195,79.382,74.408,117.466,77.144,84.657,104.599,127.990,164.693,87.757,86.881,127.783,100.252,98.440,125.758,83.568,110.935,102.683,88.906
314,74.715,66.772,81.980,81.143,79.548,106.515,80.887,118.144,137.287,110.265,137.486,109.841,124.182,93.399,102.156,100.315,109.489,142.011,130.132,111.797,144.405,79.449,74.251,117.932,77.155,83.776,103.594,126.482,165.684,88.021,86.369,126.946,101.084,98.816,126.320,83.913,111.095,101.465,87.435
315,74.194,66.935,83.693,82.841,80.213,106.056,81.603,119.749,139.645,109.725,137.026,109.290,122.715,92.560,102.821,99.925,108.030,141.870,130.265,112.151,144.960,79.153,74.137,118.757,77.332,84.091,103.862,129.526,164.238,87.303,86.458,128.613,99.972,97.620,125.094,84.532,110.690,102.697,89.176
316,75.105,67.387,83.906,89.172,79.852,106.606,81.903,119.132,151.068,109.730,136.776,109.377,124.641,92.605,103.476,99.675,108.126,140.938,130.252,113.158,145.714,80.538,75.412,119.812,77.112,85.400,106.268,128.622,164.975,87.202,86.917,128.516,101.037,95.797,125.520,84.203,109.828,105.620,89.128
317,73.951,67.037,83.898,88.454,79.014,106.602,81.856,118.933,148.949,110.401,136.316,110.033,124.144,92.586,103.197,101.484,108.241,140.544,129.355,114.584,144.150,79.900,73.720,119.914,76.819,84.219,104.754,128.791,165.286,88.273,87.112,126.815,100.155,94.930,125.660,84.926,111.750,111.417,89.100
318,73.905,66.837,84.807,87.077,79.552,105.035,81.816,118.502,146.420,108.833,136.093,111.051,124.438,92.536,102.874,100.695,108.237,141.745,130.091,113.595,145.172,79.797,74.284,118.432,77.249,84.451,106.317,129.000,163.758,88.074,86.061,126.288,100.615,95.186,124.201,83.547,112.228,109.967,89.365
319,74.872,66.817,84.248,89.878,78.789,107.848,81.387,118.260,150.194,109.524,137.706,110.647,124.085,92.460,103.340,100.734,108.564,141.822,129.640,114.842,146.492,78.548,74.744,118.445,77.715,85.350,105.340,126.803,164.746,88.027,86.160,126.915,101.184,93.496,126.016,83.479,111.052,107.985,88.909
320,74.417,67.310,84.433,93.347,79.288,105.264,81.191,119.558,151.110,108.735,137.396,110.350,123.885,92.269,102.284,99.815,108.110,141.862,128.642,111.375,145.555,79.960,73.081,120.042,76.379,86.030,104.383,126.442,165.242,87.608,86.401,127.655,101.226,95.739,125.902,84.655,111.181,106.875,88.587
321,74.583,67.148,86.425,94.560,79.058,106.156,82.387,118.486,152.648,110.460,137.655,108.898,124.772,93.171,102.949,100.096,109.155,139.809,130.216,115.966,145.778,79.256,72.393,121.762,76.700,87.404,104.674,127.998,164.494,87.644,86.356,126.516,101.884,99.644,126.320,83.995,111.500,109.694,88.046
322,74.489,67.090,86.862,96.507,78.559,105.883,82.634,118.144,149.868,109.388,138.109,109.263,123.679,92.887,101.759,99.982,107.681,140.312,131.228,115.131,145.894,79.877,74.427,124.107,77.953,86.355,105.730,128.909,164.425,87.303,86.019,127.293,100.844,98.431,126.484,83.695,111.746,120.070,88.881
323,74.835,66.688,88.728,98.427,79.863,106.013,82.059,120.595,154.944,109.398,136.233,110.296,124.944,93.950,102.575,100.041,107.464,140.200,129.495,113.639,145.489,79.611,74.559,125.092,76.928,86.580,104.700,129.216,164.559,88.412,86.035,127.661,100.636,97.564,124.607,84.613,111.103,118.686,88.027
324,74.602,67.759,88.528,96.934,79.383,105.528,81.853,130.254,152.707,111.010,139.201,110.090,123.423,92.208,103.118,100.028,108.642,139.834,130.409,114.306,145.269,80.063,74.706,129.215,77.047,89.304,104.016,129.118,164.055,87.424,85.683,128.142,101.330,100.438,124.615,83.487,111.418,115.716,88.997
325,74.388,67.073,89.496,98.363,79.559,106.039,82.769,125.775,150.786,108.638,137.681,110.596,124.105,93.223,103.722,100.508,108.044,140.885,130.051,113.364,146.871,79.282,73.649,125.615,77.361,88.112,104.660,128.388,164.009,87.733,86.622,126.778,101.514,100.440,124.893,84.842,110.978,113.738,88.067
326,74.561,67.140,90.657,99.687,78.673,106.359,81.838,123.030,146.715,109.193,137.476,109.835,122.887,92.180,102.081,100.528,108.110,139.588,130.627,114.254,146.727,80.126,73.512,122.134,77.238,86.622,105.082,128.614,163.808,87.694,86.269,128.211,100.994,100.129,125.111,84.021,111.409,112.446,88.809
327,73.965,67.570,94.323,101.610,80.135,106.939,81.019,122.119,144.913,108.398,138.537,110.153,124.044,92.842,102.955,99.531,107.815,140.017,129.152,112.649,145.318,80.538,75.175,123.639,77.509,85.433,103.932,127.865,164.044,86.602,87.263,126.761,101.063,98.521,124.963,82.563,111.474,110.251,88.623
328,73.631,67.127,95.315,99.857,79.921,105.887,80.647,121.060,142.882,108.918,137.754,108.626,123.549,93.210,103.180,100.183,107.436,140.599,130.738,114.749,145.701,79.917,74.071,122.026,77.397,85.140,103.629,128.835,164.688,87.276,86.497,127.100,100.755,98.634,125.787,84.337,111.039,109.114,88.103
329,73.788,67.606,98.134,103.703,80.002,106.177,81.441,120.089,141.656,107.740,138.000,110.374,123.664,92.230,103.096,100.142,108.738,140.843,129.662,111.883,146.335,79.983,74.171,118.639,77.877,83.618,104.143,127.742,164.961,88.053,86.244,127.174,100.449,97.782,126.426,84.295,110.224,109.018,87.325
330,74.128,66.961,101.555,103.493,79.204,105.810,80.588,119.577,138.682,109.591,136.438,108.814,124.267,92.597,102.556,100.949,109.068,141.582,129.346,113.027,144.519,79.332,74.289,120.835,77.599,84.082,104.784,128.283,163.889,86.810,86.651,126.573,100.605,96.378,125.750,84.163,111.246,107.565,88.353
331,74.893,66.817,102.598,103.910,78.935,104.589,81.194,119.044,138.327,109.956,137.256,109.808,124.297,92.473,102.972,100.028,109.152,140.694,129.466,111.550,144.733,78.980,74.469,118.691,77.347,84.699,105.775,129.477,164.323,87.893,86.205,128.439,101.794,95.286,123.352,83.718,110.737,106.694,87.426
332,74.184,67.112,111.736,102.019,79.188,106.203,80.853,119.449,140.831,109.470,137.141,109.829,123.033,92.536,102.607,100.935,108.068,140.242,129.088,114.031,146.839,79.389,74.474,121.003,77.267,84.867,105.911,127.506,163.958,86.884,85.433,126.769,100.751,95.715,125.730,84.658,112.241,107.627,88.550
333,73.839,67.211,116.638,98.520,79.309,106.251,81.194,119.486,142.279,109.036,136.712,109.165,122.349,93.614,103.092,99.488,108.129,139.533,129.811,112.759,146.309,79.794,73.735,121.838,77.155,84.039,105.338,127.661,164.383,88.172,86.606,127.023,100.923,94.513,125.533,83.634,111.961,106.764,87.787
