 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1288,49.656,44.850,57.175,33.396,49.088,46.069,57.914,31.053,34.331,42.509,38.946,36.456,33.123,51.038,27.874,55.393,34.449,55.910,38.105,34.433,32.779,54.383,38.759,40.848,33.735,33.730,33.740,36.000,38.656,32.201,53.933,40.915,38.829,32.067,42.577,36.531,40.871,30.212
1289,48.702,44.101,54.986,33.874,48.327,45.511,57.969,31.185,34.374,42.320,38.309,36.266,33.782,50.112,27.788,55.512,34.363,55.926,37.879,34.676,33.094,54.428,38.616,40.568,34.215,33.730,33.590,36.325,38.629,32.201,53.844,40.985,39.254,32.310,42.707,36.747,40.805,30.280
1290,47.826,43.526,53.393,33.574,48.323,46.363,57.893,31.317,34.553,42.498,38.363,36.023,33.613,48.790,27.872,55.838,34.341,55.535,38.084,34.320,32.967,54.442,38.707,40.421,33.798,33.674,33.858,36.014,38.549,31.955,53.444,41.315,39.174,32.109,42.753,36.149,40.749,30.291
1291,46.667,42.937,51.754,33.538,48.863,45.655,57.690,31.045,34.596,42.448,38.473,36.019,34.008,48.130,27.767,55.905,34.316,55.548,38.250,34.813,32.428,54.536,39.155,40.973,34.343,33.698,33.635,36.043,38.427,32.152,53.233,41.248,38.693,32.310,42.465,36.251,40.940,30.442
1292,45.903,42.420,51.393,33.769,48.850,45.852,57.872,31.336,34.380,42.644,38.707,36.435,33.617,46.932,27.868,55.386,34.122,55.901,38.342,34.187,32.496,54.545,38.457,40.334,34.103,33.877,33.336,36.187,38.859,32.267,53.592,41.134,39.198,32.301,42.670,36.536,40.770,30.329
1293,44.783,41.575,49.384,33.465,48.741,45.721,58.388,31.395,34.468,42.284,38.180,36.264,33.613,45.805,27.893,55.370,34.432,55.677,37.891,34.398,32.638,54.738,39.009,40.552,34.252,33.859,33.477,36.049,38.379,32.066,53.328,40.956,38.962,32.208,42.245,36.387,40.876,30.243
1294,43.580,41.384,49.275,33.564,48.633,45.613,57.951,31.106,34.214,42.590,38.218,36.519,33.597,45.882,28.068,55.283,34.343,56.083,38.383,34.454,32.877,54.279,38.832,40.704,33.794,33.613,33.696,35.840,38.573,32.219,53.556,41.108,39.068,32.158,42.476,36.627,40.682,30.316
1295,42.852,41.150,48.308,33.556,48.584,45.600,58.047,31.154,34.425,42.272,38.271,36.042,33.979,44.740,27.712,55.931,34.260,56.152,38.403,34.419,32.935,54.125,38.892,40.630,33.807,33.780,33.697,36.216,38.689,32.344,53.903,41.076,39.425,32.206,42.414,36.664,40.438,30.448
1296,42.284,41.480,47.701,33.471,48.637,45.215,58.112,31.373,34.207,42.334,38.432,35.940,33.296,44.349,27.977,55.229,34.648,55.705,37.959,34.655,32.790,54.183,38.435,40.685,34.190,33.580,33.710,36.226,38.644,31.996,53.936,41.111,39.277,32.370,42.481,36.397,40.976,30.263
1297,41.893,40.864,47.896,33.753,49.004,45.794,58.081,31.283,34.457,42.564,38.353,35.944,33.741,43.624,27.779,55.722,34.316,55.795,38.276,34.532,32.822,54.360,38.612,40.462,34.377,33.498,33.584,36.037,38.615,32.275,53.692,41.312,39.546,32.435,42.554,36.224,40.635,30.135
1298,41.015,40.610,46.976,33.454,48.679,45.383,57.862,31.241,34.288,42.498,38.438,35.968,33.765,43.098,27.662,55.576,34.507,56.025,38.430,34.662,32.757,54.530,38.659,40.829,34.019,33.929,33.472,36.086,38.408,32.280,53.403,40.983,39.664,32.208,42.760,36.243,40.796,30.419
1299,40.788,40.730,47.156,33.499,48.500,45.737,58.148,31.137,34.415,42.464,38.404,36.065,33.609,42.707,27.973,55.296,34.233,55.786,38.228,34.440,32.558,53.939,38.634,40.332,34.221,33.617,33.705,36.043,38.557,32.230,53.795,41.128,39.646,32.348,42.634,36.269,40.766,30.466
