 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37
11,84.503,123.383,105.474,98.271,80.699,95.656,113.231,96.476,85.073,91.275,99.176,119.269,94.655,74.513,77.807,89.485,86.018,75.107,67.362,71.400,63.888,81.044,71.557,69.944,69.769,71.643,66.690,63.952,65.063,71.604,69.594,68.040,63.696,70.466,67.335,63.304,68.624
12,84.202,123.077,105.651,98.329,80.589,93.920,113.527,96.383,85.087,90.292,100.405,119.215,93.526,74.411,77.639,90.147,85.648,76.743,67.027,71.027,63.570,81.380,72.652,70.457,69.347,71.252,67.259,63.742,64.925,71.517,69.204,67.644,63.297,70.486,66.744,63.317,68.692
13,84.179,122.749,105.165,96.655,80.693,93.643,113.427,97.017,85.381,91.156,100.111,119.199,94.023,74.677,77.875,89.089,85.780,75.978,66.671,71.119,63.550,80.694,72.065,70.157,70.044,70.928,67.354,63.941,64.915,71.997,68.948,67.494,63.758,70.734,66.685,63.465,68.633
14,84.037,123.509,105.433,97.764,81.203,98.233,114.357,96.410,85.294,90.503,98.901,119.529,93.989,74.470,77.087,89.161,85.492,75.989,67.711,71.140,63.901,80.996,72.473,69.942,69.924,71.342,67.375,63.859,65.067,71.210,69.406,67.339,62.889,70.382,67.131,64.116,67.511
15,84.635,123.261,105.932,97.508,80.598,97.668,112.827,95.730,85.411,90.977,99.488,118.953,94.742,74.079,78.319,90.393,86.064,76.191,66.814,71.423,63.882,80.356,72.696,70.831,70.080,71.251,66.380,63.618,64.896,70.748,69.209,67.438,64.048,71.033,66.637,63.519,68.480
16,84.402,122.982,106.256,98.450,80.949,98.983,113.069,97.656,84.770,91.076,100.192,119.162,93.885,74.077,77.902,89.742,85.667,75.232,67.133,71.396,64.211,80.742,72.432,70.262,68.769,71.070,66.845,64.345,64.674,70.763,69.472,67.749,63.477,70.189,66.835,63.399,68.475
17,84.670,123.886,106.063,96.667,80.620,100.077,114.296,97.620,85.053,90.867,100.269,119.815,93.469,74.345,77.955,89.778,86.120,75.824,66.658,71.381,63.762,80.784,72.878,70.665,70.996,71.147,67.245,63.523,65.169,71.363,68.986,67.500,63.424,70.695,66.936,62.932,68.977
18,84.152,124.316,105.699,98.101,81.297,96.829,114.110,97.470,85.277,90.835,99.944,119.439,94.053,73.981,78.297,90.493,86.268,75.971,66.924,71.388,64.056,80.681,71.427,70.002,69.511,71.474,66.741,63.139,65.080,72.027,68.992,67.155,63.590,70.749,66.566,63.565,69.163
19,83.967,123.008,105.676,98.229,81.051,94.946,114.530,96.677,85.195,91.410,99.642,119.060,93.890,73.983,77.803,89.028,85.560,75.801,66.907,71.437,64.174,80.284,72.848,70.441,70.067,71.172,67.493,63.311,65.394,71.045,69.558,67.415,63.859,70.536,67.073,63.379,68.828
20,84.277,124.277,105.490,97.740,81.620,93.068,115.096,96.977,85.538,91.352,99.659,119.428,94.145,74.104,78.197,89.097,85.495,75.596,66.342,70.556,64.395,80.563,72.242,69.883,69.640,71.012,66.611,63.815,64.693,71.571,69.330,67.218,63.528,70.178,66.884,63.397,69.050
21,83.685,121.735,105.059,97.446,79.487,91.766,112.601,95.556,85.156,91.338,99.586,119.197,94.327,74.502,77.715,90.146,85.825,75.235,67.243,71.279,64.130,81.799,71.918,70.361,69.373,71.155,66.315,63.298,65.015,71.477,68.583,67.669,63.318,70.053,66.756,63.295,68.706
22,83.834,124.521,105.610,97.333,80.437,90.288,113.040,96.935,84.966,90.902,99.680,119.831,94.085,74.183,77.737,89.254,85.754,75.978,66.688,71.575,64.083,80.260,71.470,69.850,70.636,71.218,67.002,63.939,65.556,70.682,68.808,67.147,63.069,70.103,66.963,64.073,69.914
23,84.808,122.348,104.944,96.566,80.035,88.720,113.259,96.117,85.411,90.747,99.220,118.472,94.538,74.396,78.034,89.160,85.880,75.312,67.189,71.025,63.781,80.504,71.935,70.695,69.720,71.260,67.308,63.557,64.304,71.670,68.730,67.079,63.060,69.787,67.159,63.222,68.457
24,84.351,122.898,105.375,96.539,80.962,87.336,113.445,97.359,85.277,91.409,98.947,118.903,93.970,74.106,77.815,89.041,85.474,76.423,66.618,71.044,64.293,80.731,72.932,70.380,70.222,71.141,66.632,63.414,64.676,71.775,69.527,67.218,63.714,70.220,66.915,63.166,68.919
25,84.527,121.497,104.729,97.240,80.177,86.187,112.935,95.769,85.185,90.381,99.456,118.601,93.777,74.368,77.701,89.563,85.959,75.368,67.033,70.563,63.824,81.037,72.764,70.398,69.653,70.737,67.111,64.057,64.956,71.697,69.188,68.105,63.396,70.281,67.054,63.438,69.100
