 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
91,123.485,142.109,141.647,156.499,135.604,130.456,130.549,120.135,115.880,128.137,125.032,116.113,121.446,121.637,113.129,116.248,116.961
92,124.730,142.441,140.485,155.065,135.115,130.867,129.950,120.300,115.309,128.573,124.972,115.915,120.526,121.247,113.631,117.402,115.813
93,123.620,140.870,140.860,157.733,135.416,130.732,129.741,119.557,117.370,127.985,125.011,116.263,120.955,121.414,113.979,116.413,116.232
94,124.460,142.385,140.293,155.588,135.580,129.472,130.628,120.118,115.477,128.194,124.817,115.926,120.537,120.573,113.258,116.860,116.450
95,123.040,141.327,140.053,156.606,134.776,130.752,130.766,119.650,115.739,128.383,125.396,115.596,120.519,120.285,114.905,116.512,116.133
96,123.325,142.342,140.834,157.369,135.366,131.278,129.634,120.427,116.285,128.246,125.041,115.323,121.167,120.590,113.665,116.839,116.092
97,123.607,142.185,140.560,158.264,135.061,130.427,129.882,120.362,115.782,128.299,125.032,115.439,122.132,120.320,113.957,116.812,116.247
98,123.724,142.084,140.863,157.526,135.257,129.661,131.214,120.081,115.784,128.115,124.906,115.496,121.230,119.801,114.335,116.337,115.908
99,123.040,142.284,140.284,156.927,134.685,129.353,130.109,120.520,115.765,128.294,124.425,115.504,120.941,120.921,114.036,116.590,115.823
100,122.798,141.155,139.960,156.992,135.695,130.476,131.359,119.863,115.861,128.453,124.909,115.560,120.355,120.566,113.399,116.200,116.142
101,122.798,141.868,140.221,157.420,135.784,130.468,129.259,120.309,116.327,128.035,125.336,115.971,120.892,120.193,113.789,116.594,115.911
102,123.282,142.108,140.123,157.612,135.013,129.972,130.757,119.406,115.601,128.527,124.563,116.195,121.746,121.298,114.755,116.326,115.794
103,122.948,141.075,141.198,156.933,136.227,130.415,129.854,119.437,115.383,128.217,124.728,114.887,120.840,120.629,113.488,116.284,116.248
104,122.862,142.000,140.667,156.903,134.882,130.200,128.866,120.284,114.743,128.578,125.121,115.203,120.805,119.850,114.669,116.670,115.950
105,123.009,141.753,140.521,155.234,135.267,130.812,130.536,120.331,115.290,128.551,124.204,115.633,120.798,120.335,113.785,116.688,116.359
106,123.801,142.788,140.802,156.394,134.854,130.629,130.391,119.609,115.527,127.988,124.870,115.133,118.941,120.446,113.556,116.761,116.260
107,122.227,141.021,140.261,156.132,135.643,130.335,130.161,120.292,114.937,128.580,124.917,115.343,121.300,120.904,113.698,117.014,116.454
108,123.905,142.010,141.032,156.706,134.639,129.837,129.514,119.967,115.161,127.705,125.368,116.026,121.432,120.590,114.343,116.335,116.707
109,123.147,141.504,141.527,157.173,134.418,130.808,131.035,119.766,115.355,127.845,124.920,115.977,122.289,120.496,114.084,116.452,116.120
110,123.610,141.701,141.321,157.615,135.892,128.694,130.417,119.586,114.930,127.818,124.162,116.595,120.645,120.948,113.725,116.096,116.146
111,122.745,142.220,141.022,155.461,134.408,129.655,130.507,119.170,116.309,128.054,124.696,115.177,119.798,120.543,113.791,116.016,115.432
112,123.908,141.059,140.473,156.288,135.244,130.139,130.155,119.482,115.375,128.429,124.552,115.185,122.436,121.560,114.299,116.378,115.933
113,123.248,142.012,141.024,156.218,135.001,130.052,130.339,120.346,114.719,128.711,124.664,115.883,120.843,120.625,113.907,116.417,115.442
114,123.598,141.223,142.282,157.119,134.649,130.107,130.130,120.257,116.170,128.293,124.590,115.501,121.700,120.597,114.288,116.309,116.231
115,123.423,142.599,139.997,157.790,134.680,130.530,130.302,120.012,115.819,128.222,125.060,115.235,119.557,120.717,113.776,116.043,115.644
116,123.804,141.621,139.986,156.081,134.983,130.119,130.104,119.476,115.257,128.193,124.565,115.840,121.035,121.509,113.744,116.910,115.439
117,123.687,141.504,140.353,156.978,136.179,130.688,129.859,119.857,115.702,127.861,124.767,114.866,122.192,120.682,113.957,115.505,116.403
118,123.077,141.612,141.411,156.213,135.131,129.633,129.734,118.888,115.205,127.938,124.783,115.792,119.791,121.082,113.982,116.245,116.101
119,123.543,142.098,140.602,156.752,134.672,130.246,129.823,119.644,114.296,128.473,124.240,115.814,121.449,120.788,113.945,116.312,115.504
120,122.951,141.515,140.220,156.410,134.365,129.867,129.474,119.754,115.490,128.270,124.210,116.035,120.436,121.082,114.000,116.472,116.788
121,122.500,141.589,140.981,155.817,134.068,130.143,130.144,119.603,115.688,128.207,124.442,115.932,121.714,120.228,114.660,115.702,116.336
122,123.221,142.670,141.115,156.361,135.426,129.631,130.852,120.137,115.669,128.360,125.506,115.234,120.516,120.564,114.800,116.418,116.109
123,124.393,141.490,140.586,155.547,134.940,131.407,130.845,120.936,114.837,128.632,124.515,115.294,121.596,121.227,113.601,116.571,116.220
124,123.399,141.179,140.440,155.429,135.050,129.641,130.090,120.967,115.466,128.209,124.066,116.183,120.976,120.691,113.771,116.213,116.406
125,122.939,141.308,140.751,156.631,135.480,130.093,130.111,119.847,115.782,128.232,125.101,115.176,120.195,120.496,113.785,115.853,115.307
126,123.018,142.146,140.575,156.178,134.788,129.718,129.842,119.538,114.638,128.214,125.282,115.485,120.704,120.674,114.111,116.339,115.387
127,122.543,142.306,140.611,155.156,134.973,130.494,128.818,119.139,115.577,128.908,124.627,115.345,120.460,120.813,114.120,115.661,115.388
128,124.031,142.515,139.574,155.518,135.420,128.778,130.092,119.480,115.353,128.088,124.069,115.521,119.784,120.507,114.140,115.762,116.104
129,123.620,142.226,139.903,155.787,134.703,130.329,129.786,119.141,115.856,128.200,123.712,115.482,120.352,120.376,113.504,116.051,115.628
130,123.540,142.249,140.834,156.402,134.256,129.258,129.748,121.097,115.447,128.160,124.286,116.009,120.530,121.114,113.886,115.805,115.734
131,122.831,141.645,140.264,156.251,134.365,130.522,130.247,119.271,114.632,127.776,123.568,115.714,121.317,121.058,114.041,115.512,115.774
132,123.607,142.130,140.062,155.515,135.062,129.683,129.875,120.070,116.183,128.154,124.176,115.498,120.111,121.105,113.773,116.523,115.067
133,122.755,141.960,140.223,156.725,134.629,130.002,130.116,119.269,115.377,127.531,124.231,115.694,120.648,120.743,114.163,116.176,115.715
134,123.037,140.975,140.502,155.170,135.490,129.395,130.689,120.050,114.266,128.170,124.689,115.532,120.540,120.376,113.470,116.362,115.337
135,121.617,141.959,140.174,154.625,134.128,129.643,129.526,119.487,114.416,128.063,124.712,115.439,121.282,121.893,113.134,115.965,115.851
136,123.291,142.930,140.195,154.836,135.513,129.972,130.448,118.903,115.601,128.298,123.950,114.564,122.213,121.140,113.122,114.801,114.952
137,124.077,142.229,143.975,155.774,134.439,129.752,131.267,119.406,115.963,128.523,124.156,116.216,120.634,120.699,114.483,115.718,116.034
138,123.623,142.817,143.340,154.938,135.295,130.069,130.368,120.048,115.878,128.171,124.156,115.511,120.718,121.322,112.937,115.853,115.746
139,124.138,142.102,142.390,154.625,135.420,130.310,130.769,119.747,115.917,128.117,124.412,115.700,120.641,121.552,113.875,116.035,115.426
140,123.172,142.472,141.416,155.412,135.321,129.504,129.700,119.917,115.048,128.363,124.304,115.359,120.481,120.612,113.798,114.729,116.026
141,123.347,141.781,141.631,155.906,134.732,129.181,130.057,119.393,115.327,128.129,124.476,114.931,121.084,120.228,114.227,115.016,115.571
142,122.028,141.115,141.494,154.218,134.743,130.062,131.188,119.226,115.037,128.305,124.378,114.657,120.293,120.775,113.259,116.078,115.387
143,122.963,142.136,140.602,154.383,134.963,130.466,129.248,118.789,115.911,127.947,124.188,114.788,120.063,120.096,113.013,115.902,114.828
144,123.086,142.314,140.541,156.030,135.391,129.530,130.052,119.839,114.680,128.016,123.931,115.087,120.463,121.667,114.356,116.007,115.585
145,123.862,141.636,140.826,155.334,134.932,129.726,129.682,119.093,115.608,127.779,125.099,115.130,120.833,119.981,112.898,116.498,114.686
146,123.972,142.040,140.812,154.836,134.339,128.825,129.179,119.023,116.619,128.345,123.931,115.750,121.387,120.283,113.413,116.528,115.584
147,122.828,142.175,139.866,155.520,134.972,130.077,129.658,118.801,116.124,128.615,124.073,115.550,120.000,121.328,113.403,115.908,115.556
148,122.390,142.172,140.577,155.447,135.219,130.308,129.896,119.691,115.627,128.364,124.167,115.693,119.972,120.940,113.335,116.426,115.347
149,123.172,142.433,140.772,154.458,135.148,129.183,130.865,119.809,115.673,127.350,124.462,115.019,120.801,120.298,113.991,115.502,115.512
150,122.696,142.368,140.243,155.744,134.366,128.500,129.922,119.395,114.327,128.405,124.348,115.403,120.502,120.944,113.216,116.814,115.166
151,123.126,141.510,140.946,155.135,135.011,130.742,130.760,119.393,115.307,128.150,123.634,115.696,120.603,121.418,113.807,115.270,115.904
152,122.773,141.293,140.580,155.477,135.058,129.895,130.998,120.058,114.852,128.246,124.798,115.375,121.446,121.247,113.589,116.016,115.782
153,122.653,142.516,140.324,156.264,135.288,129.254,131.035,119.259,115.580,128.139,124.632,115.494,121.087,120.685,113.798,116.424,115.768
154,123.034,142.930,140.571,156.181,135.470,129.762,130.064,119.855,114.699,128.185,124.098,116.597,120.770,120.208,114.420,115.206,115.658
155,123.273,142.340,141.743,155.226,135.138,129.583,130.260,119.424,115.734,128.427,124.275,116.333,120.561,120.966,113.145,116.122,114.836
156,122.951,142.170,140.145,155.377,134.683,129.512,130.852,120.522,115.207,127.845,123.554,115.703,121.693,120.871,113.623,115.305,115.384
157,122.583,141.753,140.290,156.205,134.720,129.343,129.429,119.994,114.451,128.070,124.368,115.512,119.962,120.444,113.585,115.560,116.048
