 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
147,160.777,127.971,115.138,130.246,143.866,170.295,163.514,144.166,134.124,150.380,88.881,131.228,142.179
148,159.407,128.310,115.191,125.495,142.958,173.356,160.572,148.174,135.434,151.570,88.534,130.066,138.114
149,164.452,128.835,112.950,121.214,143.872,168.278,163.912,143.218,133.435,151.028,88.956,130.921,138.240
150,157.052,126.125,112.840,125.454,141.451,168.881,164.454,147.354,135.231,147.340,89.900,130.824,142.704
151,157.439,128.739,117.402,120.557,141.103,172.062,166.757,143.354,134.375,148.191,89.030,129.435,142.017
152,159.812,125.188,113.293,123.664,143.777,169.075,160.891,144.229,133.877,148.102,89.491,130.642,138.758
153,162.889,127.488,110.771,125.882,141.451,170.912,163.069,143.127,133.517,147.665,88.202,130.256,139.508
154,161.821,128.198,113.587,125.131,143.377,173.610,163.257,148.229,133.925,152.093,90.742,131.102,138.000
155,161.039,129.649,114.158,123.921,144.635,175.761,162.542,145.789,136.325,151.902,87.537,132.855,143.248
156,165.872,131.731,115.918,132.236,144.668,179.571,166.583,152.403,135.265,154.147,88.784,133.007,146.004
157,165.134,129.859,114.155,132.060,145.507,178.446,169.728,153.982,135.074,155.578,88.328,132.775,147.794
158,164.666,128.290,114.616,128.293,144.798,178.983,165.684,152.640,134.765,154.575,88.334,131.591,148.514
159,165.552,130.686,117.279,130.077,145.114,179.614,167.721,148.093,137.907,155.997,90.383,133.917,146.539
160,164.294,132.400,116.660,130.495,147.054,178.996,166.804,154.295,137.259,155.622,90.100,132.424,149.188
161,166.184,130.486,114.458,129.332,145.879,181.353,166.558,152.339,134.798,151.722,87.795,129.250,144.752
162,165.882,133.161,113.618,132.092,145.830,182.009,166.132,149.452,135.989,153.664,89.425,130.507,146.792
163,167.340,131.520,117.276,133.062,146.126,178.610,166.548,148.724,137.282,153.221,89.542,130.863,144.681
164,167.443,132.376,113.094,130.291,146.333,181.170,166.200,148.730,138.569,154.627,88.469,133.397,143.337
165,167.873,136.357,116.282,136.013,147.234,184.358,169.075,153.047,143.416,159.441,92.641,132.394,147.669
166,169.241,134.059,118.543,135.448,155.950,185.142,172.958,158.351,140.078,158.661,92.300,135.487,148.936
167,170.547,135.863,116.850,143.741,165.000,188.405,174.862,162.939,142.779,154.539,93.022,140.289,146.354
168,165.548,134.755,117.726,139.865,161.339,187.056,171.773,167.258,142.547,157.745,92.858,135.658,150.230
169,169.843,133.912,117.306,137.953,156.503,181.974,171.340,162.029,138.865,153.997,93.948,138.196,145.427
170,171.751,135.331,116.451,135.154,152.834,183.767,168.215,159.318,141.933,154.979,91.506,136.075,146.101
171,167.762,133.275,115.167,138.103,155.086,187.601,167.988,158.734,138.218,158.272,90.153,136.437,146.762
172,168.592,131.078,115.977,141.105,153.886,186.049,171.899,165.327,139.071,155.834,92.752,137.722,145.815
173,168.701,135.386,118.167,141.535,155.422,188.179,170.530,165.901,137.207,155.307,90.852,135.499,147.725
174,166.210,134.508,118.922,138.206,149.472,182.084,167.531,161.200,140.550,157.523,91.525,135.956,147.844
175,166.832,133.159,117.282,141.912,150.102,184.963,168.335,156.351,138.576,157.517,89.244,132.807,146.023
176,168.691,132.478,116.123,140.317,148.487,183.231,167.169,157.950,139.790,155.523,89.106,130.833,146.193
177,166.246,135.373,117.847,136.430,149.762,183.914,168.477,156.608,138.025,154.425,91.259,131.452,145.024
178,163.452,132.047,116.416,129.638,146.348,182.257,165.554,154.785,139.744,155.412,87.530,131.613,146.866
179,166.796,132.486,114.047,129.343,145.595,184.793,166.548,150.231,141.458,155.550,89.378,131.366,147.009
180,166.899,132.684,116.243,132.899,148.010,181.687,167.671,150.695,138.742,156.570,89.175,130.666,145.987
181,166.109,134.102,116.427,134.679,145.941,186.200,169.284,151.498,137.619,156.722,87.961,132.576,144.976
182,164.437,132.888,116.268,133.627,147.598,186.034,167.889,153.195,138.235,155.264,90.270,130.803,144.469
183,166.907,133.649,116.392,136.775,149.697,183.362,168.177,155.827,140.892,155.447,90.622,131.924,144.949
184,169.717,134.292,113.580,135.251,146.246,189.091,166.207,154.098,138.587,157.780,89.909,130.565,144.708
185,166.908,133.347,114.510,135.261,147.790,182.937,165.406,151.195,141.723,153.715,92.025,133.721,143.230
186,165.920,130.698,115.712,134.692,145.966,188.978,164.553,152.782,141.218,153.842,91.020,132.872,142.657
187,166.602,127.963,115.759,135.820,146.198,185.590,166.847,152.455,142.196,154.869,89.966,131.286,145.081
188,163.993,130.118,113.704,135.054,145.047,188.047,169.213,147.989,139.367,154.438,92.402,130.804,142.775
189,167.564,134.133,114.103,133.445,145.107,182.836,169.774,152.566,138.752,155.604,90.097,130.808,144.418
190,167.501,134.578,113.324,130.762,145.577,186.925,166.588,150.518,140.276,157.929,89.650,131.170,145.801
191,168.878,133.549,116.781,135.133,147.886,186.573,165.781,150.629,139.715,158.207,89.834,130.187,146.723
192,170.408,136.716,117.018,132.777,146.938,185.468,166.207,150.556,138.895,157.122,90.181,132.099,147.185
193,170.806,136.747,115.975,133.505,145.275,186.924,165.466,152.011,139.992,159.364,87.058,131.645,142.866
194,167.372,130.547,115.946,133.880,145.954,186.989,167.727,149.449,141.904,156.541,90.633,130.802,145.768
195,168.316,135.090,114.852,135.062,147.519,184.507,168.975,149.273,141.121,158.199,87.486,129.813,143.974
196,168.459,134.112,117.575,132.069,146.010,182.567,168.346,150.670,141.435,160.076,88.272,130.175,145.681
197,169.931,136.365,115.140,132.582,144.442,186.028,164.922,150.220,138.423,155.448,89.278,131.100,141.179
198,168.843,133.308,116.705,131.203,147.297,188.147,168.606,153.145,142.091,158.783,88.452,128.248,144.710
199,169.066,132.871,115.442,134.287,147.387,187.302,165.459,150.090,139.532,159.191,89.489,129.600,142.467
200,169.990,138.541,115.623,131.456,146.173,187.894,166.873,148.427,142.121,155.220,89.027,129.313,145.343
