 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
100,12.552,11.701,13.827,10.551,12.176,11.766,10.771,10.830,11.448,10.476,10.555,9.833,13.569,10.786,10.573,10.919,10.184,8.999,8.367,8.541
101,12.529,11.703,13.830,10.496,12.121,11.642,10.704,10.794,11.434,10.269,10.571,9.933,13.537,10.812,10.533,11.001,10.218,9.043,8.322,8.605
102,12.635,11.696,13.881,10.497,12.135,11.781,10.644,10.629,11.592,10.438,10.464,9.772,13.515,10.769,10.652,11.111,10.152,9.076,8.368,8.549
103,12.542,11.701,13.828,10.458,12.153,11.643,10.771,10.814,11.529,10.471,10.546,9.800,13.476,10.733,10.609,11.096,10.212,8.996,8.359,8.646
104,12.630,11.738,13.757,10.559,12.256,11.673,10.585,10.785,11.469,10.413,10.476,9.917,13.521,10.768,10.576,10.962,10.141,8.949,8.419,8.597
105,12.543,11.666,13.815,10.412,12.200,11.654,10.673,10.775,11.441,10.298,10.647,9.972,13.495,10.728,10.579,10.940,10.172,9.057,8.383,8.586
106,12.513,11.653,13.863,10.518,12.213,11.671,10.693,10.803,11.372,10.361,10.489,9.856,13.479,10.721,10.639,10.946,10.164,9.018,8.331,8.566
107,12.629,11.688,13.786,10.496,12.172,11.734,10.673,10.750,11.391,10.428,10.555,10.017,13.539,10.737,10.546,10.937,10.236,9.048,8.368,8.605
108,12.569,11.733,13.845,10.437,12.168,11.725,10.698,10.794,11.571,10.332,10.543,9.872,13.467,10.710,10.639,10.829,10.196,9.028,8.391,8.575
109,12.570,11.681,13.795,10.393,12.129,11.638,10.804,10.798,11.398,10.418,10.599,9.694,13.477,10.741,10.685,10.869,10.313,9.000,8.424,8.649
110,12.603,11.718,13.761,10.417,12.135,11.612,10.686,10.775,11.381,10.452,10.533,9.783,13.535,10.761,10.626,11.122,10.123,9.025,8.391,8.555
111,12.577,11.698,13.804,10.407,12.145,11.664,10.686,10.784,11.453,10.409,10.476,9.844,13.494,10.784,10.550,11.086,10.240,8.978,8.379,8.547
112,12.593,11.607,13.687,10.456,12.204,11.693,10.742,10.695,11.533,10.428,10.464,9.878,13.561,10.724,10.579,11.114,10.188,9.000,8.348,8.571
113,12.533,11.731,13.800,10.460,12.227,11.659,10.619,10.782,11.458,10.409,10.625,9.883,13.513,10.709,10.626,11.036,10.186,9.040,8.361,8.600
114,12.518,11.774,13.736,10.369,12.172,11.730,10.621,10.755,11.502,10.303,10.508,9.911,13.672,10.735,10.526,10.923,10.121,8.949,8.319,8.589
115,12.621,11.627,13.751,10.412,12.282,11.643,10.634,10.718,11.462,10.510,10.492,9.806,13.577,10.733,10.616,10.955,10.198,9.070,8.371,8.546
116,12.531,11.610,13.695,10.482,12.188,11.676,10.616,10.755,11.542,10.490,10.612,9.767,13.583,10.765,10.540,11.176,10.115,8.981,8.379,8.637
117,12.484,11.722,13.860,10.461,12.231,11.627,10.657,10.762,11.474,10.462,10.593,9.833,13.567,10.747,10.510,11.236,10.184,8.982,8.339,8.561
118,12.540,11.703,13.738,10.485,12.119,11.654,10.652,10.720,11.382,10.428,10.596,9.883,13.563,10.727,10.586,11.146,10.168,8.925,8.384,8.603
119,12.556,11.727,13.767,10.473,12.149,11.662,10.642,10.700,11.469,10.404,10.511,9.717,13.534,10.732,10.659,11.038,10.190,9.054,8.400,8.537
120,12.561,11.620,13.702,10.523,12.239,11.662,10.619,10.785,11.493,10.457,10.495,9.756,13.504,10.727,10.513,10.984,10.125,9.046,8.371,8.547
121,12.561,11.705,13.752,10.460,12.074,11.651,10.616,10.775,11.460,10.476,10.407,9.772,13.544,10.782,10.560,11.040,10.202,9.043,8.322,8.561
122,12.591,11.657,13.752,10.515,12.211,11.607,10.776,10.716,11.458,10.486,10.603,9.833,13.475,10.767,10.560,11.064,10.180,9.012,8.359,8.547
123,12.619,11.677,13.668,10.499,12.117,11.719,10.564,10.683,11.439,10.399,10.495,9.872,13.470,10.800,10.477,11.270,10.192,8.982,8.362,8.559
124,12.501,11.685,13.692,10.401,12.229,11.631,10.621,10.699,11.448,10.385,10.435,9.711,13.506,10.734,10.510,11.235,10.168,8.918,8.413,8.637
125,12.563,11.642,13.764,10.461,12.174,11.682,10.657,10.796,11.467,10.351,10.539,9.761,13.526,10.823,10.507,11.114,10.214,9.025,8.323,8.547
126,12.656,11.618,14.123,10.612,12.323,11.686,10.910,11.064,11.564,10.745,10.508,10.150,13.926,10.803,10.877,11.254,10.416,9.197,8.367,8.717
127,12.568,11.772,14.074,10.605,12.387,11.681,11.039,11.012,11.609,10.841,10.473,10.083,13.925,10.918,10.841,11.229,10.341,9.143,8.388,8.680
128,12.648,11.646,14.060,10.662,12.491,11.748,11.067,11.053,11.675,10.668,10.508,10.067,13.942,10.823,10.887,11.146,10.424,9.157,8.384,8.621
129,12.679,11.681,14.091,10.602,12.393,11.645,10.977,11.021,11.654,10.899,10.479,10.028,13.897,10.861,10.858,11.187,10.378,9.149,8.395,8.730
130,12.582,11.573,14.049,10.568,12.499,11.758,11.108,11.113,11.631,10.812,10.530,10.033,13.967,10.809,10.950,11.406,10.440,9.158,8.385,8.705
131,12.604,11.653,14.074,10.640,12.481,11.747,11.103,11.007,11.633,10.827,10.587,10.072,13.983,10.873,10.788,11.443,10.323,9.126,8.391,8.670
132,12.570,11.783,14.302,10.720,12.417,11.582,11.015,11.101,11.626,10.846,10.495,10.117,13.958,10.778,11.003,11.350,10.352,9.208,8.371,8.632
133,12.676,11.813,14.391,10.657,12.526,11.621,10.982,11.012,11.623,10.904,10.483,10.233,13.968,10.832,10.930,11.231,10.372,9.208,8.385,8.654
134,12.630,11.759,14.557,10.587,12.554,11.689,11.168,11.082,11.599,10.769,10.511,10.050,14.062,10.823,10.993,11.206,10.380,9.196,8.376,8.676
135,12.652,11.738,14.755,10.581,12.429,11.690,11.023,11.129,11.661,10.678,10.571,10.150,14.123,10.830,10.937,11.210,10.339,9.179,8.350,8.634
136,12.604,11.542,14.544,10.643,12.550,11.783,11.000,11.126,11.766,10.635,10.426,10.061,13.996,10.860,10.907,11.196,10.345,9.211,8.346,8.617
137,12.673,11.733,14.897,10.739,12.452,11.752,11.129,11.028,11.692,10.755,10.543,10.089,14.075,10.863,10.947,11.239,10.327,9.182,8.388,8.624
138,12.684,11.638,14.810,10.621,12.511,11.737,11.111,11.039,11.744,10.663,10.565,10.072,14.101,10.947,10.993,11.486,10.349,9.136,8.406,8.663
139,12.702,11.718,14.708,10.636,12.452,11.673,11.098,11.168,11.779,10.726,10.511,10.172,14.083,10.845,10.947,11.419,10.388,9.160,8.378,8.641
