 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
238,88.389,95.535,86.369,104.294,103.373,100.197,91.588,95.861,90.036,90.381,97.194,95.706,95.267,94.816,91.715,89.504
239,87.982,96.058,86.691,104.050,103.519,99.986,91.414,95.922,89.747,90.443,97.464,94.739,96.171,94.077,91.426,89.782
240,88.575,95.394,86.628,103.257,103.326,100.443,91.849,95.693,90.448,91.086,97.325,95.421,96.250,94.434,92.266,89.557
241,88.559,96.219,86.072,103.415,103.093,100.325,92.280,97.102,89.873,90.820,97.438,95.676,95.789,94.120,91.733,89.659
242,88.184,96.204,87.129,102.860,103.968,99.967,91.105,96.663,90.436,90.815,97.407,95.300,96.109,94.965,91.823,89.161
243,87.966,96.372,86.834,103.123,103.047,99.984,92.368,95.660,90.483,91.188,97.799,94.515,95.840,94.824,91.753,89.716
244,88.778,95.769,86.649,103.639,103.235,100.399,91.517,96.599,89.913,91.054,97.873,95.470,95.530,93.787,92.427,89.610
245,88.321,95.894,87.186,103.790,103.040,100.126,92.034,95.727,90.400,91.392,97.338,94.897,95.500,94.090,91.828,88.921
246,88.503,96.186,86.406,102.758,103.091,100.598,91.173,95.941,90.616,91.477,97.884,95.885,96.335,94.787,91.715,89.559
247,88.034,96.319,86.973,102.691,103.470,100.030,91.873,96.602,90.517,90.935,97.118,94.485,96.400,93.811,91.543,89.337
248,87.615,95.518,86.369,102.389,103.121,100.421,91.419,96.262,90.547,90.485,97.644,95.216,96.190,94.378,91.708,90.617
249,88.711,96.638,86.717,102.959,103.345,100.792,91.507,95.503,90.416,91.195,97.690,95.589,96.139,93.904,91.848,89.923
250,87.551,96.284,86.405,103.246,103.297,101.052,91.215,95.086,90.414,90.767,97.498,95.394,95.966,94.367,91.767,89.209
251,88.022,96.173,87.139,103.048,102.879,100.601,91.879,95.917,89.903,90.609,97.587,95.558,96.398,94.168,91.661,89.258
252,88.052,95.834,86.531,104.080,103.489,100.003,91.296,96.176,90.188,90.069,97.489,95.667,96.289,95.247,92.054,89.934
253,87.752,96.236,86.679,103.242,103.102,100.831,92.014,95.979,90.150,90.686,98.007,95.277,96.265,94.157,91.893,90.441
254,88.982,95.676,87.154,102.961,103.114,100.694,91.712,95.636,90.255,91.049,97.575,95.959,95.524,94.596,92.250,89.943
255,88.357,96.045,86.998,102.810,103.186,100.410,91.519,96.447,89.836,90.978,97.765,95.156,96.385,93.984,91.379,89.923
256,88.595,95.369,86.414,102.851,104.083,100.492,91.857,96.385,90.376,92.185,97.201,95.010,95.917,93.963,92.041,90.015
257,88.685,95.827,86.612,102.317,103.445,100.809,91.877,95.997,89.879,90.917,97.503,96.327,96.252,93.918,91.264,89.667
258,88.417,95.490,86.255,102.639,103.042,101.249,91.294,95.583,90.457,90.627,98.335,95.596,96.637,94.338,92.345,89.943
259,88.297,95.658,86.534,103.467,103.890,100.615,92.318,95.238,89.855,91.148,97.235,94.971,96.177,94.641,91.559,89.725
260,88.463,96.108,86.973,102.743,103.458,101.276,91.630,95.709,90.523,90.848,97.255,95.257,96.402,94.157,91.962,89.337
261,89.152,95.915,86.925,102.782,103.934,100.648,91.368,96.281,90.453,90.890,97.511,95.540,96.002,94.154,91.832,89.727
262,88.130,95.884,86.856,103.585,103.443,100.538,91.473,96.564,90.202,90.427,97.219,94.895,96.592,94.899,91.986,89.969
263,88.499,95.982,87.069,103.104,103.733,99.891,91.481,96.182,90.002,90.619,97.273,95.852,96.459,94.391,92.467,89.599
264,88.172,95.892,86.793,103.363,103.320,99.803,91.459,95.626,90.152,90.943,98.239,95.365,96.699,94.255,92.192,89.575
265,88.098,96.595,86.813,102.674,104.261,100.142,91.437,96.444,90.311,91.231,99.157,96.893,96.991,94.880,91.834,89.687
266,87.750,95.842,86.696,103.702,102.794,102.090,91.404,96.941,90.863,91.427,98.810,96.591,97.648,94.851,92.521,90.077
267,87.992,95.430,86.511,103.957,103.528,101.019,92.614,96.460,90.584,90.748,98.100,96.296,97.485,94.431,92.311,90.379
268,88.519,96.183,86.610,104.475,103.386,101.219,91.972,96.262,89.941,90.510,97.067,95.992,97.694,94.335,92.244,90.066
269,88.337,96.224,86.657,104.553,103.430,100.199,91.913,95.048,89.850,90.895,97.065,94.979,96.739,93.894,91.864,89.738
270,87.743,96.465,86.126,104.512,103.411,100.937,92.537,95.928,90.265,90.839,97.332,94.936,96.498,94.527,92.217,89.652
271,87.942,96.126,86.726,104.017,103.282,100.383,91.147,95.035,90.378,91.059,97.792,95.006,97.148,94.048,91.792,89.491
272,87.731,95.656,86.747,104.886,103.214,100.948,91.598,95.906,90.259,90.807,97.369,95.612,96.968,94.338,91.742,89.601
273,87.707,95.935,86.895,105.060,103.055,100.995,91.298,95.529,90.244,89.907,98.025,95.154,97.731,94.944,91.709,90.185
274,88.804,95.814,86.847,104.916,103.432,99.932,91.628,95.837,90.081,90.911,97.265,95.294,96.207,94.423,91.733,89.231
275,87.349,96.405,87.181,104.706,103.290,100.792,91.630,96.150,90.238,90.376,97.838,95.212,97.126,94.085,91.745,89.407
276,88.465,96.241,86.370,104.320,103.803,100.030,91.751,95.417,90.291,90.900,97.887,95.242,97.201,93.529,91.610,89.573
277,88.439,95.894,86.171,104.272,103.091,100.820,90.986,96.642,90.477,90.124,97.361,95.164,96.754,94.101,91.744,89.645
278,87.998,96.405,86.256,104.590,102.958,100.273,91.101,95.944,90.329,90.443,97.373,95.474,96.752,93.668,91.930,88.978
279,87.355,95.809,86.553,105.313,103.737,100.063,91.398,95.957,90.081,91.175,97.002,95.051,96.545,93.963,91.305,90.077
280,89.659,96.397,86.798,105.028,103.727,101.230,91.732,94.941,90.073,90.820,98.663,96.283,97.132,94.495,92.478,90.064
281,91.172,97.108,86.126,106.415,104.333,102.891,92.161,95.960,90.024,91.600,104.382,102.076,100.368,94.040,93.642,92.079
