 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
162,74.582,72.809,62.580,69.739,61.259,58.363,59.853,65.478,73.403,63.313
163,74.115,72.103,62.551,69.744,61.154,58.996,59.288,65.456,73.633,63.711
164,74.667,72.415,62.441,69.911,61.141,59.665,59.243,66.096,73.446,63.683
165,74.726,72.475,62.033,70.329,60.385,59.050,59.434,65.126,72.993,63.884
166,75.497,72.107,61.949,69.948,61.504,58.295,59.384,65.579,73.720,64.992
167,74.740,72.138,62.322,70.548,61.285,59.171,58.692,66.210,73.534,63.325
168,74.917,71.942,62.329,70.252,61.078,58.765,59.048,65.208,73.703,64.357
169,74.726,71.630,61.727,69.671,61.282,58.181,58.912,65.872,72.673,63.325
170,74.513,71.583,62.184,69.833,60.474,58.900,59.104,65.432,73.371,63.578
171,74.156,71.354,61.900,69.739,61.305,58.142,59.281,65.292,72.981,63.277
172,73.984,72.379,62.182,70.584,60.892,58.964,58.803,65.202,73.037,63.185
173,74.710,71.638,62.343,69.515,60.882,58.512,58.977,65.650,72.818,62.309
174,74.676,71.726,62.200,69.944,61.297,58.267,58.990,65.087,72.840,63.924
175,75.867,71.812,61.739,69.529,60.438,57.900,59.073,65.230,72.923,63.269
176,74.609,71.426,61.455,70.264,61.365,58.388,58.377,64.792,73.070,64.016
177,74.770,72.127,62.327,69.979,60.929,58.043,59.127,64.470,73.597,64.080
178,74.825,71.953,62.402,68.699,60.902,59.128,59.199,64.571,73.165,62.819
179,74.692,71.351,61.765,69.256,60.751,58.345,59.589,65.014,73.190,63.546
180,73.853,71.177,62.182,69.694,60.486,57.886,58.930,65.637,72.497,63.265
181,73.499,71.809,61.557,69.809,60.698,58.452,59.005,64.929,73.431,63.546
182,74.347,72.249,62.227,69.965,60.605,58.199,59.348,64.702,73.005,63.651
183,74.575,71.693,61.573,69.682,60.204,58.598,59.407,65.090,72.531,63.369
184,74.474,71.646,61.749,69.668,60.856,58.367,58.631,64.719,73.185,63.602
185,74.554,71.511,61.824,69.800,60.519,58.214,58.922,65.549,72.935,64.498
186,74.880,71.889,62.041,70.078,60.486,58.128,58.813,64.803,73.315,64.000
187,74.559,71.929,61.900,69.553,61.350,58.335,59.503,65.628,73.266,64.767
188,74.977,71.431,62.384,69.296,60.287,58.423,59.306,65.082,72.913,63.502
189,74.349,72.265,62.361,68.995,60.723,58.484,59.417,64.115,73.242,64.289
190,73.903,72.282,62.190,70.252,59.947,58.840,58.912,64.803,72.866,63.293
191,74.336,71.724,62.027,70.332,61.108,58.605,59.180,65.495,72.581,63.928
192,74.324,71.331,62.331,70.195,60.456,58.395,59.020,64.918,73.476,63.269
193,74.894,71.334,61.898,69.784,60.743,58.046,58.959,64.544,73.315,64.076
194,75.315,72.034,61.843,70.259,60.748,58.651,59.046,64.926,73.688,63.550
195,74.032,70.961,61.929,70.504,60.494,58.584,59.089,64.956,73.145,63.173
196,73.892,71.853,62.361,69.527,60.869,58.423,59.272,65.434,72.845,64.104
197,74.809,71.803,61.645,69.336,60.869,58.495,59.482,65.754,73.536,63.566
198,74.998,71.614,61.498,69.664,60.587,58.178,58.964,64.418,72.808,64.028
199,74.972,71.765,61.843,69.699,60.393,58.224,58.775,65.101,73.124,64.084
200,75.262,71.718,62.290,70.475,60.559,58.594,58.939,64.866,73.461,64.510
201,75.113,71.585,61.790,70.471,61.380,58.975,59.195,64.828,73.355,63.470
202,75.055,71.900,62.059,69.496,60.952,58.808,58.927,65.156,72.870,64.181
203,73.938,71.491,61.843,69.426,60.723,58.715,58.793,64.724,72.680,63.550
204,74.646,71.458,62.163,69.732,60.091,58.918,59.161,64.585,73.582,63.663
205,74.676,71.566,61.878,70.101,60.247,58.025,59.013,64.585,72.571,63.602
206,74.860,71.245,61.496,69.520,60.451,58.367,59.344,65.145,72.733,62.976
207,74.264,71.553,62.822,71.706,60.733,58.712,58.826,64.727,72.861,64.000
208,87.917,82.818,70.388,78.911,61.511,62.609,60.579,66.363,74.192,65.546
209,90.009,87.031,71.000,86.153,62.554,62.907,61.215,66.276,74.808,67.900
210,96.069,100.995,69.192,96.056,64.809,65.847,62.209,65.489,74.945,69.213
211,98.533,109.870,69.192,102.278,67.317,65.253,63.065,66.191,78.044,73.313
212,94.478,121.395,69.920,110.894,68.874,67.712,64.119,66.030,79.619,74.478
213,93.310,124.668,69.502,107.104,66.962,67.890,64.050,65.637,76.939,70.586
214,88.864,131.268,71.598,122.638,73.287,67.680,63.724,64.995,82.347,76.538
215,84.867,129.334,71.939,128.725,72.904,67.726,63.823,65.120,82.841,79.036
216,82.952,130.210,73.241,133.320,74.511,66.367,63.702,64.738,82.999,79.297
217,80.736,131.583,72.951,140.219,73.446,66.103,63.838,64.637,82.619,80.289
218,79.600,136.030,73.273,140.242,73.748,65.648,65.174,65.022,83.390,80.365
219,78.315,130.796,71.490,140.814,71.207,64.456,64.755,65.145,82.707,81.020
220,75.768,136.820,72.153,139.435,71.537,65.562,65.217,65.003,82.190,81.285
