 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
618,23.138,23.245,23.218,39.455,24.079,22.484,23.025,27.935,27.263,27.964,25.138,25.988,26.565,22.292,24.720,27.254,25.574,25.329,58.331,93.222,70.663,41.053,37.159,27.271,28.743,33.247,24.243,25.244,26.753,24.439,22.860,22.292,24.962,26.406,25.091
619,23.084,23.299,23.415,38.726,23.975,22.273,22.931,27.721,26.982,27.667,25.000,25.874,26.341,22.413,24.662,27.184,25.356,25.263,58.236,92.637,69.775,40.630,36.758,27.240,28.547,32.737,24.397,24.826,26.846,24.588,22.887,22.260,24.749,25.881,24.819
620,23.029,23.421,23.323,38.601,24.122,22.208,22.917,27.540,27.005,27.671,24.733,25.765,26.057,22.367,24.646,27.109,25.420,25.444,57.644,92.368,68.577,40.242,36.992,27.529,28.429,32.540,24.230,24.956,26.805,24.690,22.690,22.233,24.829,25.886,24.792
621,23.045,23.359,23.300,38.488,24.194,22.415,22.989,27.656,26.911,27.778,24.975,25.734,25.910,22.323,24.529,27.095,25.474,25.337,57.210,91.782,67.859,39.998,37.178,27.369,28.286,32.566,24.295,24.988,26.816,24.559,22.769,22.250,24.873,26.077,24.675
622,23.138,23.502,23.364,38.384,24.115,22.266,22.874,27.525,26.976,27.851,24.952,25.501,25.780,22.531,24.456,26.974,25.304,25.173,56.947,91.337,66.954,39.757,37.066,27.382,28.269,32.591,24.356,24.980,26.659,24.575,22.790,22.140,24.927,25.991,24.648
623,23.014,23.132,23.281,38.179,24.056,22.316,23.087,27.581,26.974,27.788,24.989,25.499,25.723,22.369,24.621,26.854,25.178,25.124,56.993,90.586,66.228,39.796,37.229,27.324,28.371,32.126,24.345,25.084,26.813,24.708,22.744,22.281,25.002,26.176,24.668
624,23.016,23.356,23.142,37.748,24.006,22.152,23.028,27.513,26.869,27.647,24.962,25.457,25.698,22.354,24.568,26.716,25.326,25.107,56.657,90.771,65.181,39.368,37.131,27.369,28.437,32.144,24.369,25.106,26.622,24.690,22.697,22.373,25.056,25.969,24.445
625,23.076,23.370,23.277,37.554,23.910,22.160,22.866,27.475,27.037,27.668,24.873,25.457,25.451,22.326,24.409,26.983,25.330,25.276,56.438,90.330,64.564,39.315,37.375,26.907,28.249,32.058,24.214,24.982,26.748,24.421,22.870,22.177,25.106,26.182,24.604
626,23.061,23.266,23.280,37.477,24.141,22.275,22.819,27.379,26.965,27.783,24.977,25.331,25.285,22.369,24.386,26.776,25.223,24.981,56.012,89.688,63.697,39.085,36.790,27.622,27.943,31.922,24.231,25.034,26.675,24.579,22.675,22.375,24.723,25.904,24.396
627,22.897,23.130,23.246,37.454,24.006,22.131,22.927,27.264,26.984,27.687,24.977,25.299,25.230,22.287,24.348,26.750,25.220,25.247,55.678,89.517,62.968,38.823,36.941,27.338,28.498,31.742,24.281,24.986,26.527,24.463,22.771,22.256,24.901,25.974,24.604
628,23.119,23.292,23.408,37.481,23.943,22.146,22.971,27.241,26.788,27.635,24.532,25.385,25.147,22.464,24.276,26.871,25.281,25.124,55.724,89.148,62.778,38.757,36.701,27.231,28.624,31.636,24.237,24.998,26.770,24.372,22.776,22.121,24.758,26.085,24.389
629,23.173,23.326,23.184,37.686,23.969,22.263,22.953,27.121,26.801,27.545,24.910,25.154,24.943,22.497,24.361,26.743,25.248,25.173,54.764,88.928,61.968,38.787,36.667,27.196,28.633,31.646,24.165,24.972,26.619,24.403,22.769,22.202,24.977,25.972,24.405
630,23.153,23.211,23.284,36.693,24.225,22.207,22.997,27.322,26.877,27.877,24.978,25.151,24.896,22.438,24.248,26.644,25.031,25.219,54.849,88.749,61.244,38.421,37.184,27.387,28.600,31.366,24.401,25.078,26.629,24.176,22.922,22.185,24.934,26.018,24.376
