 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
787,15.041,18.421,34.634,11.867,21.113,21.522,14.733,13.092,11.467,13.332,12.008,13.528,17.156,15.615,12.140,11.111,19.034,10.211,9.816,10.272,12.343,12.538,11.269,11.274,12.735,12.962,11.722,10.988,10.921,10.474,12.773,15.395,10.219,11.520
788,14.785,18.477,34.703,11.903,21.202,21.459,15.223,13.070,11.385,13.367,12.118,13.292,16.926,15.223,11.916,11.303,18.755,10.159,9.830,10.457,12.307,12.467,11.325,11.155,12.689,12.854,12.838,11.022,10.963,10.523,12.802,15.476,10.137,11.609
789,14.798,18.503,34.318,11.962,21.244,21.517,16.225,12.940,11.382,13.192,12.300,13.083,16.698,14.746,11.886,11.147,18.085,10.081,9.822,10.777,12.377,12.462,11.237,11.180,12.814,12.838,13.016,10.946,10.932,10.464,12.988,15.472,10.108,11.520
790,14.621,18.529,34.090,11.867,20.819,21.629,15.893,12.645,11.383,13.221,12.181,12.906,16.525,15.171,11.830,11.220,18.157,10.001,9.858,10.774,12.291,12.526,11.349,11.187,12.742,12.882,12.574,10.925,10.930,10.545,12.606,15.261,10.124,11.526
791,14.577,18.456,33.404,11.788,21.132,21.495,15.688,12.469,11.343,13.124,12.162,12.739,16.235,15.387,11.907,11.150,18.286,10.056,9.671,10.585,12.313,12.613,11.294,11.184,12.769,12.879,12.238,10.971,10.853,10.484,12.880,15.233,10.172,11.393
792,14.374,18.399,32.625,11.776,20.910,21.566,15.328,12.213,11.274,13.152,12.091,12.597,15.938,14.833,11.791,11.323,17.961,9.977,9.855,10.475,12.190,12.610,11.243,11.243,12.735,12.810,12.054,10.893,10.925,10.524,12.863,15.114,10.108,11.426
793,14.394,18.257,32.005,11.885,20.337,21.541,15.038,12.068,11.253,13.116,11.964,12.413,15.756,14.399,11.740,11.170,17.467,9.977,9.877,10.445,12.127,12.567,11.200,11.210,12.747,12.974,11.904,10.966,10.926,10.549,12.808,14.798,10.115,11.402
794,15.983,18.341,31.689,12.398,20.247,21.553,14.959,11.959,11.292,13.040,12.015,13.131,15.534,14.615,11.742,11.224,17.651,10.023,9.841,10.449,12.163,12.505,11.259,11.206,12.733,13.295,11.795,11.102,11.012,10.413,12.875,14.738,10.214,11.441
795,23.304,19.316,31.653,14.347,20.639,21.561,14.695,11.776,11.261,13.095,12.203,15.544,16.328,15.136,12.447,11.255,17.160,10.605,9.972,10.940,12.281,12.512,11.275,11.145,12.716,14.067,11.854,11.708,11.337,10.489,12.825,15.005,10.523,11.692
796,23.639,19.379,31.392,14.008,20.554,21.359,14.487,11.687,11.191,13.045,12.057,15.436,16.227,14.494,12.295,11.115,16.663,10.645,9.950,11.042,12.277,12.486,11.339,11.251,12.730,14.069,11.767,11.671,11.193,10.548,12.819,15.026,10.587,11.740
797,22.262,19.420,30.437,13.357,20.860,21.387,14.439,11.607,11.204,12.980,11.998,14.800,15.937,13.940,12.074,11.226,16.073,10.445,9.866,10.932,12.131,12.503,11.316,11.808,12.726,13.649,11.821,11.462,11.074,10.496,12.790,15.009,10.450,11.598
798,20.930,19.103,30.722,12.829,20.616,21.513,14.260,11.461,11.186,12.915,11.939,14.452,15.819,13.659,11.870,11.271,15.714,10.360,9.975,11.038,12.128,12.452,11.382,11.676,12.691,13.382,11.696,11.224,11.021,10.528,12.802,14.972,10.393,11.551
799,19.817,19.036,30.219,12.865,20.657,21.356,14.272,11.423,11.279,12.898,11.962,14.467,15.432,13.448,11.742,11.182,15.385,10.200,9.978,10.932,12.079,12.526,11.271,11.581,12.718,13.721,11.793,11.212,10.972,10.455,12.848,14.882,10.510,11.406
800,18.958,18.804,30.105,13.125,20.438,21.566,14.121,11.456,11.181,12.912,11.939,15.322,15.453,13.334,11.905,11.226,14.799,10.176,9.958,10.921,11.982,12.462,11.331,11.396,12.605,13.487,11.713,11.250,10.896,10.502,12.869,14.853,10.658,11.541
801,18.227,18.773,29.211,12.722,20.087,21.470,13.991,11.278,11.176,12.869,12.030,14.978,15.281,13.227,11.647,11.244,14.254,10.093,9.875,11.068,12.050,12.464,11.253,11.416,12.645,13.274,11.753,11.121,10.965,10.478,12.840,14.808,10.503,11.382
802,17.616,18.705,28.601,12.536,19.635,21.502,13.910,11.242,11.204,12.795,11.888,14.642,15.064,13.111,11.565,11.117,13.976,10.140,9.869,11.026,11.845,12.486,11.310,11.248,12.654,13.054,11.682,11.146,10.886,10.511,12.743,14.616,10.450,11.314
