 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
81,64.417,57.800,59.190,69.391,92.135,63.954,64.400,62.616,57.687,64.084,69.331,81.205,81.366,73.766,90.937,90.923,63.117,62.937,66.288,59.413,53.467,63.123,69.188,69.520
82,64.766,57.851,59.090,69.747,91.730,64.217,64.342,62.586,57.443,64.031,70.109,81.269,80.982,73.270,90.717,89.576,63.163,63.196,66.011,59.773,53.478,63.186,69.115,69.607
83,64.618,57.962,59.449,69.502,91.834,63.846,64.009,62.595,57.185,63.616,69.965,81.525,81.265,72.789,91.885,89.045,62.792,63.247,65.898,59.210,53.562,63.394,69.482,69.651
84,64.636,57.779,59.439,69.973,92.699,63.962,64.287,62.408,57.226,63.821,69.726,81.764,81.414,74.020,90.522,93.062,63.459,63.453,66.140,59.112,53.377,63.217,68.583,69.321
85,64.651,57.914,59.078,69.507,90.738,63.952,64.157,63.006,57.176,63.480,70.541,81.415,80.726,74.475,88.950,93.414,63.084,63.202,66.144,59.542,53.364,63.086,68.557,68.956
86,64.963,58.094,58.972,69.711,93.002,64.009,63.662,62.411,57.153,64.025,69.662,81.482,80.966,74.181,88.624,91.270,63.200,62.918,66.360,59.678,53.558,63.433,69.246,68.485
87,64.761,57.846,59.206,69.818,92.674,64.002,63.928,63.096,56.942,63.722,69.822,81.540,81.339,73.128,89.163,90.156,63.335,63.117,65.488,60.175,53.390,63.250,69.162,68.450
88,64.719,57.882,59.371,69.836,91.036,64.200,64.474,62.552,57.573,63.732,70.042,81.382,81.223,72.875,88.443,94.131,63.411,63.371,65.549,59.406,53.626,63.431,68.619,69.082
89,64.992,57.932,59.034,69.827,92.711,64.075,63.956,62.929,57.402,64.065,70.516,81.155,81.219,73.306,86.684,93.030,63.254,63.231,66.147,59.514,53.355,63.168,68.347,69.337
90,64.492,57.878,58.960,70.342,92.136,63.987,64.311,63.139,57.526,63.846,69.237,81.417,81.686,74.048,85.767,91.435,62.967,63.060,65.705,59.385,53.591,63.011,67.854,68.742
91,65.110,57.855,58.738,70.069,91.369,63.919,64.089,62.714,57.008,64.174,69.778,81.154,80.917,73.750,84.363,89.310,63.426,63.023,66.432,59.409,53.641,63.281,68.420,69.136
92,64.589,57.930,59.259,69.809,92.564,64.143,64.070,62.736,57.368,63.941,70.106,81.317,81.635,73.373,83.210,89.099,62.656,62.870,65.970,59.570,53.467,63.664,68.364,68.902
93,64.593,57.976,59.439,69.164,92.500,64.056,64.345,62.748,56.926,63.553,70.005,80.971,81.102,73.141,82.754,93.070,63.163,62.536,65.649,59.266,53.501,63.383,68.936,68.820
94,64.731,57.924,59.106,69.549,90.906,64.028,64.379,62.813,57.474,64.156,69.427,81.060,81.506,72.568,82.144,92.133,63.099,62.638,65.818,59.122,53.377,63.477,68.796,69.426
95,64.660,57.906,59.159,69.118,91.500,63.930,63.819,62.747,56.840,63.850,69.556,80.816,81.137,72.316,80.799,90.466,62.793,62.643,66.284,58.850,53.436,63.427,69.230,68.667
96,64.767,57.957,59.034,69.224,91.307,64.055,63.867,62.471,57.124,63.878,69.304,81.068,81.442,72.938,80.675,89.015,63.077,62.878,65.782,59.220,53.492,63.235,68.742,69.253
97,64.549,58.001,59.421,69.553,91.111,63.749,64.128,63.040,57.235,63.828,69.659,81.317,81.092,73.934,80.044,88.134,62.748,62.568,66.442,58.773,53.340,63.162,68.731,69.112
98,64.461,57.693,58.804,70.049,92.457,63.879,63.995,62.814,57.168,63.956,70.509,81.831,81.178,73.734,80.149,92.559,63.066,63.125,66.375,60.014,53.455,63.270,68.454,69.152
99,64.698,57.851,59.265,69.704,91.067,63.962,64.547,62.730,57.390,63.840,70.200,81.295,81.245,74.828,79.655,92.357,62.923,62.936,65.993,59.203,53.481,63.203,68.664,69.440
100,64.400,57.762,58.601,69.820,90.327,63.720,64.441,63.054,57.238,64.000,70.077,81.242,81.569,74.526,79.395,90.522,63.099,62.761,66.218,59.409,53.706,62.926,69.294,69.407
101,64.482,57.991,58.713,69.322,92.900,63.800,64.345,63.148,57.549,64.214,69.783,81.270,81.332,74.009,79.162,88.230,62.882,62.508,66.367,59.601,53.503,63.347,69.305,68.663
102,64.513,58.187,59.006,69.113,91.511,64.116,64.484,62.797,57.603,63.799,70.244,81.327,81.256,73.533,78.783,91.611,63.210,62.424,66.396,59.115,53.506,63.478,67.916,69.225
103,64.311,57.709,59.193,68.884,89.999,64.188,63.544,63.440,57.499,63.735,69.686,81.329,81.291,72.802,77.746,93.070,63.272,62.575,66.758,59.605,53.503,63.023,67.961,69.157
104,64.270,57.920,59.237,68.802,93.073,63.972,63.952,63.294,57.393,63.974,70.338,81.177,81.328,72.870,79.671,90.908,63.032,62.119,66.593,59.374,53.450,62.896,68.448,69.204
105,64.348,57.636,59.140,69.764,90.994,64.058,64.227,62.927,59.543,64.197,70.035,81.064,81.610,73.888,79.643,88.857,62.857,62.156,66.175,59.601,53.285,63.018,68.022,69.386
106,64.514,57.881,58.947,69.193,92.057,63.769,63.496,63.164,59.675,64.246,69.701,81.106,81.563,73.808,80.774,88.253,63.289,62.101,66.391,59.958,53.515,63.191,68.513,69.105
107,64.772,57.735,59.131,69.820,91.650,63.606,63.747,63.018,59.448,64.124,69.479,80.818,81.450,73.358,80.892,88.592,63.018,61.959,65.651,59.703,53.327,63.451,68.955,69.410
108,64.502,57.814,58.651,70.067,91.138,63.992,64.398,62.679,58.772,64.235,69.558,81.585,81.018,72.867,80.195,92.267,63.290,61.742,65.560,60.178,53.735,63.067,68.728,69.328
109,64.805,58.033,59.022,69.800,92.959,64.099,63.998,62.809,58.589,63.988,69.906,81.885,80.857,72.737,80.681,92.384,63.078,62.275,66.070,59.773,53.555,63.584,69.168,69.082
110,64.694,57.925,58.595,69.347,92.221,63.862,63.615,62.529,58.199,64.022,69.306,81.932,81.316,72.377,82.017,90.866,62.871,61.924,66.193,59.822,53.451,63.544,68.462,68.932
111,64.883,58.029,59.090,69.922,92.500,64.380,64.547,62.477,58.158,64.095,69.674,81.683,81.559,72.103,82.552,94.196,63.109,61.975,65.746,59.332,53.565,63.251,68.725,69.000
112,64.777,58.110,59.243,69.660,93.396,63.975,63.815,62.315,57.811,64.107,70.249,81.639,81.420,73.393,82.996,92.713,62.625,62.070,65.898,59.143,53.624,63.206,68.465,68.609
113,64.822,57.970,59.181,69.944,91.540,63.684,63.802,62.799,57.426,64.027,69.704,81.512,81.435,73.003,82.660,90.576,62.866,62.153,66.370,59.850,53.600,63.397,69.157,69.956
114,64.972,57.767,59.330,69.609,92.433,63.939,63.456,62.477,57.402,63.714,69.516,81.474,81.056,73.047,83.681,87.740,63.007,62.126,65.956,59.755,53.455,63.369,68.311,69.487
115,64.887,58.065,59.218,70.222,92.781,63.839,64.166,62.316,57.353,64.214,69.800,81.078,80.829,72.659,83.901,87.839,63.408,62.083,66.063,59.633,53.672,63.255,68.451,68.984
116,64.917,57.999,59.040,69.682,90.773,64.006,64.212,62.073,57.045,63.970,69.523,81.222,81.141,72.146,83.153,91.383,63.046,62.015,65.865,59.678,53.332,63.163,68.252,69.623
117,64.686,57.843,59.648,69.813,93.054,64.163,63.812,62.285,57.723,63.746,70.005,81.606,81.807,71.445,84.515,91.906,62.791,61.664,65.789,59.864,53.696,63.436,68.451,68.874
118,65.082,57.908,59.296,68.696,91.903,64.353,63.803,62.331,57.629,63.720,69.975,81.003,81.349,72.390,83.242,90.070,62.691,61.830,65.591,59.381,53.545,63.414,68.888,69.007
119,64.842,57.885,59.324,69.202,89.962,64.564,63.479,62.105,57.017,63.835,69.546,81.053,80.797,71.596,82.063,87.904,62.692,61.677,65.670,59.930,53.540,63.695,68.056,69.527
120,65.004,58.073,58.879,70.271,93.169,64.675,64.222,61.962,57.729,63.985,70.684,81.278,80.986,72.284,82.436,89.743,62.746,61.794,65.896,59.619,53.691,63.497,68.709,69.389
121,65.104,58.245,58.879,69.667,91.977,64.759,64.417,61.811,58.551,64.122,70.109,81.424,81.222,72.773,86.332,92.523,62.817,61.807,65.646,60.077,53.494,63.379,68.882,69.213
122,65.293,58.023,59.137,70.107,90.445,64.655,63.976,62.049,59.482,64.533,70.153,81.293,81.804,72.392,86.630,89.909,62.734,61.944,66.228,59.612,53.372,63.414,68.518,69.372
123,65.371,58.409,58.860,69.602,93.045,64.690,63.540,62.206,59.253,64.014,69.998,81.722,81.172,72.087,85.959,88.022,63.133,62.253,66.304,59.441,53.759,63.597,69.042,69.321
124,65.175,58.364,59.520,70.158,92.071,64.627,63.503,62.176,58.812,63.898,70.659,81.629,80.931,72.507,87.507,86.936,62.442,62.085,66.035,59.290,53.496,63.306,68.669,69.124
125,65.401,58.297,59.237,70.089,90.246,64.586,64.200,62.170,58.536,64.119,69.630,81.702,81.170,71.656,86.671,90.196,62.593,61.944,66.267,60.154,53.625,63.483,68.644,69.166
126,65.193,58.334,59.411,69.660,92.733,64.747,63.906,61.571,58.290,64.191,69.807,81.381,81.924,72.159,88.305,91.331,62.689,61.715,66.174,59.724,53.790,62.848,68.462,69.646
